المعتمدية,بصل,جزر,لفت,ثوم,فول,جلبانة,بسباس,بصل_ربعي,بروكلو,خص,معدنوس,سلق,كلافس,فجل,سكوم,المجموع,feuille
بوزيد الغربية,22500,17600,3250,5100,2200,120,6375,750,120,3750,825,600,225,0,0,60715,Feuil1
بوزيد الشرقية,6000,26400,1875,350,90,120,250,750,0,0,375,300,0,0,0,36510,Feuil1
المكناسي,0,400,0,0,450,360,0,0,0,0,0,0,0,0,0,1210,Feuil1
الرقاب,900,2000,125,0,4395,3246,375,0,0,0,105,75,75,0,0,11296,Feuil1
السعيدة,0,0,0,0,648,648,0,0,0,0,0,0,0,0,0,1548,Feuil1
جلمة,1500,1800,375,200,900,900,0,0,0,0,225,75,150,0,0,7025,Feuil1
بن عون,180,0,0,50,27,27,0,0,0,0,0,0,0,0,0,257,Feuil1
المزونة,450,0,0,0,810,810,0,0,0,0,30,30,0,15,60,3795,Feuil1
السبالة,2700,600,75,250,720,720,125,0,0,0,60,225,60,0,0,4935,Feuil1
أولاد حفوز,600,400,75,0,90,90,0,0,0,0,45,75,0,0,0,1345,Feuil1
بئر الحفي,2700,1200,100,100,990,990,125,0,0,0,75,75,45,0,0,5590,Feuil1
منزل بوزيان,1500,1600,125,100,810,810,0,0,0,0,75,90,0,0,0,6292,Feuil1
السوق الجديد,3900,7240,150,100,360,360,75,0,0,0,75,150,30,0,0,14600,Feuil1
الجملة,42930,59240,6150,6250,12490,12490,4625,1500,120,3750,1890,1695,585,15,60,155118,Feuil1
