المعتمدية,بصل,جزر,لفت,ثوم,فول,جلبانة,بسباس,بصل_ربعي,بروكلو,خص,معدنوس,سلق,كلافس,فجل,سكوم,المجموع,feuille
بوزيد الغربية,750,440,130,510,220,20,147.0,25.0,8.0,150.0,55,40,15.0,,,2510,Feuil1
بوزيد الشرقية,200,660,75,35,10,20,10.0,25.0,,,25,20,0.0,,,1080,Feuil1
المكناسي,0,10,0,0,50,60,,,,,0,0,,,,120,Feuil1
الرقاب,30,50,5,0,450,541,15.0,,,,7,5,5.0,,,1108,Feuil1
السعيدة,0,0,0,0,72,150,,,,,0,0,,,,222,Feuil1
جلمة,50,45,15,20,100,300,,,,,15,5,10.0,,,560,Feuil1
بن عون,6,0,0,5,3,0,,,,,0,0,,,,14,Feuil1
المزونة,15,0,0,0,90,400,,,,,2,2,,1.0,4.0,514,Feuil1
السبالة,90,15,3,25,80,20,5.0,,,,4,15,4.0,,,261,Feuil1
أولاد حفوز,20,10,3,0,10,10,,,,,3,5,,,,61,Feuil1
بئر الحفي,90,30,4,10,110,30,5.0,,,,5,5,3.0,,,292,Feuil1
منزل بوزيان,50,40,5,10,90,332,,,,,5,6,,,,538,Feuil1
السوق الجديد,130,181,6,10,40,420,3.0,,,,5,10,2.0,,,807,Feuil1
الجملة,1431,1481,246,625,1325,2303,185.0,50.0,8.0,150.0,126,113,39.0,1.0,4.0,8087,Feuil1
