annee,delegation,station,mois,moyenne_mensuel_mm,valeur_mensuel_mm,feuille
2020,Siliana Nord,الإدارة الفنية,janvier,40,9.0,Feuil1
2020,Siliana Nord,الإدارة الفنية,février,49,4.0,Feuil1
2020,Siliana Nord,الإدارة الفنية,mars,39,49.0,Feuil1
2020,Siliana Nord,الإدارة الفنية,avril,47,89.0,Feuil1
2020,Siliana Nord,الإدارة الفنية,mai,35,0.0,Feuil1
2020,Siliana Nord,الإدارة الفنية,juin,37,32.0,Feuil1
2020,Siliana Nord,الإدارة الفنية,juillet,47,13.0,Feuil1
2020,Siliana Nord,الإدارة الفنية,Août,44,33.0,Feuil1
2020,Siliana Nord,الإدارة الفنية,septembre,19,122.0,Feuil1
2020,Siliana Nord,الإدارة الفنية,octobre,8,8.0,Feuil1
2020,Siliana Nord,الإدارة الفنية,novembre,16,26.0,Feuil1
2020,Siliana Nord,الإدارة الفنية,décembre,36,27.0,Feuil1
2020,Siliana Sud,الرصد الجوي,janvier,41,6.0,Feuil1
2020,Siliana Sud,الرصد الجوي,février,51,3.0,Feuil1
2020,Siliana Sud,الرصد الجوي,mars,32,59.0,Feuil1
2020,Siliana Sud,الرصد الجوي,avril,53,68.0,Feuil1
2020,Siliana Sud,الرصد الجوي,mai,40,0.0,Feuil1
2020,Siliana Sud,الرصد الجوي,juin,40,36.0,Feuil1
2020,Siliana Sud,الرصد الجوي,juillet,45,22.0,Feuil1
2020,Siliana Sud,الرصد الجوي,Août,54,29.0,Feuil1
2020,Siliana Sud,الرصد الجوي,septembre,25,110.0,Feuil1
2020,Siliana Sud,الرصد الجوي,octobre,9,10.0,Feuil1
2020,Siliana Sud,الرصد الجوي,novembre,18,27.0,Feuil1
2020,Siliana Sud,الرصد الجوي,décembre,34,28.0,Feuil1
2020,Bargou,إدارة الغابات,janvier,52,3.0,Feuil1
2020,Bargou,إدارة الغابات,février,60,4.0,Feuil1
2020,Bargou,إدارة الغابات,mars,54,98.0,Feuil1
2020,Bargou,إدارة الغابات,avril,67,112.0,Feuil1
2020,Bargou,إدارة الغابات,mai,57,0.0,Feuil1
2020,Bargou,إدارة الغابات,juin,51,40.0,Feuil1
2020,Bargou,إدارة الغابات,juillet,59,12.0,Feuil1
2020,Bargou,إدارة الغابات,Août,50,3.0,Feuil1
2020,Bargou,إدارة الغابات,septembre,20,116.0,Feuil1
2020,Bargou,إدارة الغابات,octobre,9,16.0,Feuil1
2020,Bargou,إدارة الغابات,novembre,16,41.0,Feuil1
2020,Bargou,إدارة الغابات,décembre,35,27.0,Feuil1
2020,Bouarada,إدارة  الفلاحة,janvier,36,4.0,Feuil1
2020,Bouarada,إدارة  الفلاحة,février,41,2.0,Feuil1
2020,Bouarada,إدارة  الفلاحة,mars,44,32.0,Feuil1
2020,Bouarada,إدارة  الفلاحة,avril,49,81.0,Feuil1
2020,Bouarada,إدارة  الفلاحة,mai,39,0.0,Feuil1
2020,Bouarada,إدارة  الفلاحة,juin,41,12.0,Feuil1
2020,Bouarada,إدارة  الفلاحة,juillet,34,1.0,Feuil1
2020,Bouarada,إدارة  الفلاحة,Août,32,30.0,Feuil1
2020,Bouarada,إدارة  الفلاحة,septembre,15,71.0,Feuil1
2020,Bouarada,إدارة  الفلاحة,octobre,4,18.0,Feuil1
2020,Bouarada,إدارة  الفلاحة,novembre,16,34.0,Feuil1
2020,Bouarada,إدارة  الفلاحة,décembre,27,38.0,Feuil1
2020,Aroussa,إدارة الفلاحة,janvier,40,8.0,Feuil1
2020,Aroussa,إدارة الفلاحة,février,49,0.0,Feuil1
2020,Aroussa,إدارة الفلاحة,mars,43,51.0,Feuil1
2020,Aroussa,إدارة الفلاحة,avril,61,90.5,Feuil1
2020,Aroussa,إدارة الفلاحة,mai,44,0.0,Feuil1
2020,Aroussa,إدارة الفلاحة,juin,39,5.0,Feuil1
2020,Aroussa,إدارة الفلاحة,juillet,35,1.0,Feuil1
2020,Aroussa,إدارة الفلاحة,Août,50,20.0,Feuil1
2020,Aroussa,إدارة الفلاحة,septembre,19,98.0,Feuil1
