annee,delegation,temperature_moy_pendant_periode_plus_froide,temperature_moy_pendant_periode_plus_chaude,difference,feuille
2020,Siliana (N+ S),6 – 17,21 – 36,15 – 19,Feuil1
2020,Bouarada,,,,Feuil1
2020,Gaafour,,,,Feuil1
2020,El Krib,,,,Feuil1
2020,Bourouis,,,,Feuil1
2020,Makthar,,,,Feuil1
2020,Bargou,,,,Feuil1
2020,Kesra,,,,Feuil1
2020,Rouhia,,,,Feuil1
2021,Siliana (N+ S),6 – 17,21 – 36,15 – 19,Feuil1
2021,Bouarada,,,,Feuil1
2021,Gaafour,,,,Feuil1
2021,El Krib,,,,Feuil1
2021,Bourouis,,,,Feuil1
2021,Makthar,,,,Feuil1
2021,Bargou,,,,Feuil1
2021,Kesra,,,,Feuil1
2021,Rouhia,,,,Feuil1
2022,Siliana (N+ S),6 – 17,21 – 36,15 – 19,Feuil1
2022,Bouarada,,,,Feuil1
2022,Gaafour,,,,Feuil1
2022,El Krib,,,,Feuil1
2022,Bourouis,,,,Feuil1
2022,Makthar,,,,Feuil1
2022,Bargou,,,,Feuil1
2022,Kesra,,,,Feuil1
2022,Rouhia,,,,Feuil1
2023,Siliana (N+ S),6 – 17,21 – 36,15 – 19,Feuil1
2023,Bouarada,,,,Feuil1
2023,Gaafour,,,,Feuil1
2023,El Krib,,,,Feuil1
2023,Bourouis,,,,Feuil1
2023,Makthar,,,,Feuil1
2023,Bargou,,,,Feuil1
2023,Kesra,,,,Feuil1
2023,Rouhia,,,,Feuil1
2024,Siliana (N+ S),6 – 17,21 – 36,15 – 19,Feuil1
2024,Bouarada,,,,Feuil1
2024,Gaafour,,,,Feuil1
2024,El Krib,,,,Feuil1
2024,Bourouis,,,,Feuil1
2024,Makthar,,,,Feuil1
2024,Bargou,,,,Feuil1
2024,Kesra,,,,Feuil1
2024,Rouhia,,,,Feuil1
