annee,delegation,barrages,puits_profonds_public,puits_profonds_prives,oueds_sources_public,oueds_sources_prives,puits_surface_prives,barrages_collinaires_public,barrages_collinaires_prives,eaux_epurees_public,total_public,total_prives,total,feuille
2020,Siliana  Nord,,84,20,,,211,,,87.0,171,231,402,Feuil1
2020,Bouarada,872.0,0,30,,,50,,,,872,80,952,Feuil1
2020,Gaafour,1729.0,31,70,,,12,,,,1760,82,1842,Feuil1
2020,El Krib,,54,470,,,250,,,,54,720,774,Feuil1
2020,Bourouis,,0,0,,,270,,,,0,270,270,Feuil1
2020,Makthar,,81,120,,,501,,,,81,621,702,Feuil1
2020,Bargou,,363,120,,,35,,,,363,155,518,Feuil1
2020,Kesra,,123,60,,,51,,,,123,111,234,Feuil1
2020,Rouhia,,884,680,,,1143,,,,884,1823,2707,Feuil1
2020,Siliana  Sud,1319.0,212,280,123.0,,211,,,,1654,491,2145,Feuil1
2020,Lâroussa,2692.0,0,0,,,16,,,,2692,16,2708,Feuil1
2020,Gouvernorat,6612.0,1832,1850,123.0,0.0,2750,0,0,87.0,8654,4600,13254,Feuil1
2021,Siliana  Nord,,84,20,,,211,,,87.0,171,231,402,Feuil1
2021,Bouarada,872.0,0,30,,,50,,,,872,80,952,Feuil1
2021,Gaafour,1729.0,31,70,,,12,,,,1760,82,1842,Feuil1
2021,El Krib,,54,470,,,250,,,,54,720,774,Feuil1
2021,Bourouis,,0,0,,,270,,,,0,270,270,Feuil1
2021,Makthar,,81,120,,,501,,,,81,621,702,Feuil1
2021,Bargou,,363,120,,,35,,,,363,155,518,Feuil1
2021,Kesra,,123,60,,,51,,,,123,111,234,Feuil1
2021,Rouhia,,884,680,,,1143,,,,884,1823,2707,Feuil1
2021,Siliana  Sud,1319.0,212,280,123.0,,211,,,,1654,491,2145,Feuil1
2021,Lâroussa,2692.0,0,0,,,16,,,,2692,16,2708,Feuil1
2021,Gouvernorat,6612.0,1832,1850,123.0,0.0,2750,0,0,87.0,8654,4600,13254,Feuil1
2022,Siliana  Nord,,84,20,,,211,,,87.0,171,231,402,Feuil1
2022,Bouarada,872.0,0,30,,,50,,,,872,80,952,Feuil1
2022,Gaafour,1729.0,31,70,,,12,,,,1760,82,1842,Feuil1
2022,El Krib,,54,470,,,250,,,,54,720,774,Feuil1
2022,Bourouis,,0,0,,,270,,,,0,270,270,Feuil1
2022,Makthar,,81,120,,,501,,,,81,621,702,Feuil1
2022,Bargou,,363,120,,,35,,,,363,155,518,Feuil1
2022,Kesra,,123,60,,,51,,,,123,111,234,Feuil1
2022,Rouhia,,884,680,,,1143,,,,884,1823,2707,Feuil1
2022,Siliana  Sud,1319.0,212,280,123.0,,211,,,,1654,491,2145,Feuil1
2022,Lâroussa,2692.0,0,0,,,16,,,,2692,16,2708,Feuil1
2022,Gouvernorat,6612.0,1832,1850,123.0,0.0,2750,0,0,87.0,8654,4600,13254,Feuil1
2023,Siliana  Nord,,84,20,,,211,,431,87.0,171,790,961,Feuil1
2023,Bouarada,872.0,0,30,,,50,83,94,,955,333,1288,Feuil1
2023,Gaafour,1729.0,31,70,,,12,165,25,,1925,286,2211,Feuil1
2023,El Krib,,54,470,,,250,495,,,549,1361,1910,Feuil1
2023,Bourouis,,0,0,,,270,,45,,0,510,510,Feuil1
2023,Makthar,,81,120,,,501,20,220,,101,262,363,Feuil1
2023,Bargou,,363,120,,,35,185,139,,548,499,1047,Feuil1
2023,Kesra,,123,60,,,51,,111,,123,207,330,Feuil1
2023,Rouhia,,884,680,,,1143,177,30,,1061,1246,2307,Feuil1
2023,Siliana  Sud,1319.0,212,280,123.0,,211,95,150,,1749,373,2122,Feuil1
2023,Lâroussa,2692.0,0,0,,,16,,155,,2692,133,2825,Feuil1
2023,Gouvernorat,6612.0,1832,1850,123.0,0.0,2750,1220,1400,87.0,9874,6000,15874,Feuil1
2024,Siliana  Nord,,84,33,,,81,0,37,87.0,171,151,322,Feuil1
2024,Bouarada,872.0,0,0,,,183,83,150,,955,333,1288,Feuil1
2024,Gaafour,1729.0,31,12,,,0,165,275,,1925,287,2211,Feuil1
2024,El Krib,,54,643,,,718,495,0,,549,1361,1910,Feuil1
2024,Bourouis,,0,0,,,480,0,30,,0,510,510,Feuil1
2024,Makthar,,81,77,,,0,20,185,,101,262,363,Feuil1
2024,Bargou,,363,63,,,0,185,436,,548,499,1047,Feuil1
2024,Kesra,,123,57,,,0,0,150,,123,207,330,Feuil1
2024,Rouhia,,884,672,,,1075,177,138,,1061,1885,2946,Feuil1
2024,Siliana  Sud,1319.0,212,160,123.0,,213,95,0,,1749,373,2122,Feuil1
2024,Lâroussa,2692.0,0,133,,,0,0,0,,2692,133,2825,Feuil1
2024,Gouvernorat,6612.0,1832,1850,123.0,0.0,2750,1220,1401,87.0,9874,6000,15874,Feuil1
