delegation,عدد_خلايا_الاشعاع_الفلاحي,المساحة_المحترثة,المراعي_الخاصة,الغابات_والمراعي_العمومية,اراضي_غير_صالحة_للزراعة,المساحة_الجملية_بالهكتار,feuille
Siliana Nord,3,30600,2400,3450,1840,38300,Feuil1
Bouarada,3,28800,2000,6000,2790,39600,Feuil1
Gaafour,4,41400,1150,5100,1520,49100,Feuil1
Lâroussa,2,24600,2050,5150,1780,33500,Feuil1
El Krib,3,30200,1000,8550,2860,42700,Feuil1
Bourouis,3,20600,500,3450,2520,27100,Feuil1
Makthar,3,28300,350,5100,1780,35600,Feuil1
Bargou,5,23600,300,15500,5120,44700,Feuil1
Kesra,3,11900,3900,20550,7560,44000,Feuil1
Rouhia,5,38700,9400,11100,4710,63500,Feuil1
Siliana Sud,5,34300,2650,8550,3320,48900,Feuil1
