delegation_fr,delegation_ar,annee,nombre_femelle_productive,feuille
Sousse Medina,سوسة المدينة,2016,0,Agric13 (2)
Sousse Riadh,سوسة الرياض,2016,200,Agric13 (2)
Sousse Jawhara,سوسة الجوهرة,2016,250,Agric13 (2)
Sidi Abdelhamid,سوسة سيدي عبد الحميد,2016,250,Agric13 (2)
Hammam Sousse,حمام سوسة,2016,100,Agric13 (2)
Akouda,أكودة,2016,150,Agric13 (2)
Kalaa Kbira,القلعة الكبرى,2016,900,Agric13 (2)
Sid Bou Ali,سيدي بو علي,2016,300,Agric13 (2)
Hergla,هرقلة,2016,500,Agric13 (2)
Enfidha,النفيضة,2016,2000,Agric13 (2)
Bouficha,بوفيشة,2016,1500,Agric13 (2)
Kondar,الكندار,2016,1000,Agric13 (2)
Sid El Héni,سيدي الهاني,2016,900,Agric13 (2)
M'Saken,مساكن,2016,1000,Agric13 (2)
Kalaa Sghira,القلعة الصغرى,2016,250,Agric13 (2)
zaouia/ksiba et thrayet,الزاوية/القصيبة و الثريات,2016,700,Agric13 (2)
Sousse Medina,سوسة المدينة,2017,0,Agric13 (2)
Sousse Riadh,سوسة الرياض,2017,350,Agric13 (2)
Sousse Jawhara,سوسة الجوهرة,2017,175,Agric13 (2)
Sidi Abdelhamid,سوسة سيدي عبد الحميد,2017,325,Agric13 (2)
Hammam Sousse,حمام سوسة,2017,150,Agric13 (2)
Akouda,أكودة,2017,100,Agric13 (2)
Kalaa Kbira,القلعة الكبرى,2017,1800,Agric13 (2)
Sid Bou Ali,سيدي بو علي,2017,450,Agric13 (2)
Hergla,هرقلة,2017,300,Agric13 (2)
Enfidha,النفيضة,2017,3500,Agric13 (2)
Bouficha,بوفيشة,2017,1750,Agric13 (2)
Kondar,الكندار,2017,2000,Agric13 (2)
Sid El Héni,سيدي الهاني,2017,1500,Agric13 (2)
M'Saken,مساكن,2017,1250,Agric13 (2)
Kalaa Sghira,القلعة الصغرى,2017,600,Agric13 (2)
zaouia/ksiba et thrayet,الزاوية/القصيبة و الثريات,2017,1250,Agric13 (2)
Sousse Medina,سوسة المدينة,2018,0,Agric13 (2)
Sousse Riadh,سوسة الرياض,2018,350,Agric13 (2)
Sousse Jawhara,سوسة الجوهرة,2018,175,Agric13 (2)
Sidi Abdelhamid,سوسة سيدي عبد الحميد,2018,325,Agric13 (2)
Hammam Sousse,حمام سوسة,2018,150,Agric13 (2)
Akouda,أكودة,2018,100,Agric13 (2)
Kalaa Kbira,القلعة الكبرى,2018,1800,Agric13 (2)
Sid Bou Ali,سيدي بو علي,2018,450,Agric13 (2)
Hergla,هرقلة,2018,650,Agric13 (2)
Enfidha,النفيضة,2018,3500,Agric13 (2)
Bouficha,بوفيشة,2018,2000,Agric13 (2)
Kondar,الكندار,2018,2000,Agric13 (2)
Sid El Héni,سيدي الهاني,2018,1000,Agric13 (2)
M'Saken,مساكن,2018,1250,Agric13 (2)
Kalaa Sghira,القلعة الصغرى,2018,600,Agric13 (2)
zaouia/ksiba et thrayet,الزاوية/القصيبة و الثريات,2018,2650,Agric13 (2)
Sousse Medina,سوسة المدينة,2019,0,Agric13 (2)
Sousse Riadh,سوسة الرياض,2019,350,Agric13 (2)
Sousse Jawhara,سوسة الجوهرة,2019,175,Agric13 (2)
Sidi Abdelhamid,سوسة سيدي عبد الحميد,2019,325,Agric13 (2)
Hammam Sousse,حمام سوسة,2019,100,Agric13 (2)
Akouda,أكودة,2019,100,Agric13 (2)
Kalaa Kbira,القلعة الكبرى,2019,1000,Agric13 (2)
Sid Bou Ali,سيدي بو علي,2019,450,Agric13 (2)
Hergla,هرقلة,2019,650,Agric13 (2)
Enfidha,النفيضة,2019,3000,Agric13 (2)
Bouficha,بوفيشة,2019,2000,Agric13 (2)
Kondar,الكندار,2019,1500,Agric13 (2)
Sid El Héni,سيدي الهاني,2019,1000,Agric13 (2)
M'Saken,مساكن,2019,1250,Agric13 (2)
Kalaa Sghira,القلعة الصغرى,2019,600,Agric13 (2)
zaouia/ksiba et thrayet,الزاوية/القصيبة و الثريات,2019,1500,Agric13 (2)
Sousse Medina,سوسة المدينة,2020,0,Agric13 (2)
Sousse Riadh,سوسة الرياض,2020,400,Agric13 (2)
Sousse Jawhara,سوسة الجوهرة,2020,150,Agric13 (2)
Sidi Abdelhamid,سوسة سيدي عبد الحميد,2020,300,Agric13 (2)
Hammam Sousse,حمام سوسة,2020,200,Agric13 (2)
Akouda,أكودة,2020,300,Agric13 (2)
Kalaa Kbira,القلعة الكبرى,2020,2450,Agric13 (2)
Sid Bou Ali,سيدي بو علي,2020,800,Agric13 (2)
Hergla,هرقلة,2020,700,Agric13 (2)
Enfidha,النفيضة,2020,3050,Agric13 (2)
Bouficha,بوفيشة,2020,2000,Agric13 (2)
Kondar,الكندار,2020,1750,Agric13 (2)
Sid El Héni,سيدي الهاني,2020,1500,Agric13 (2)
M'Saken,مساكن,2020,1600,Agric13 (2)
Kalaa Sghira,القلعة الصغرى,2020,900,Agric13 (2)
zaouia/ksiba et thrayet,الزاوية/القصيبة و الثريات,2020,1400,Agric13 (2)
