delegation_ar,delegation_fr,terres_agricoles_ha,terres_non_labourables_ha,forets_et_parcours_ha,feuille
سوسة المدينة,Sousse Medina,928,2205,3,Feuil2
سوسة الرياض,Sousse Riadh,2961,710,111,Feuil2
سوسة جوهرة,Sousse Jawhara,0,0,0,Feuil2
سوسة سيدي عبد الحميد,Sidi Abdelhamid,0,0,0,Feuil2
حمام سوسة,Hammam Sousse,942,745,9,Feuil2
أكودة,Akouda,3891,520,82,Feuil2
القلعة الكبرى,Kalaa Kobra,22455,650,1799,Feuil2
سيدي بو علي,Sid Bou Ali,8698,511,2904,Feuil2
هرقلة,Hergla,8572,170,1277,Feuil2
النفيضة,Enfidha,21174,4305,11563,Feuil2
بوفيشة,Bouficha,11596,1542,12181,Feuil2
كندار,Kondar,11780,11908,3672,Feuil2
سيدي الهاني,Sid El Heni,30404,34264,4991,Feuil2
مساكن,M'Saken,28926,1268,4272,Feuil2
القلعة الصغرى,Kalaa Sghira,6637,442,3541,Feuil2
