nom_de_nappe,nombre_de_puits_equipes,total,residu_sec_min,residu_sec_max,ressources_mm3_an,exploi_mm3_an,ressources_diso_mm3_an,deficit_mm3_an,taux_dexploit,feuille
Ghomrassen-Mrabtine,63.0,80.0,2.0,5.0,0.4,0.1725,0.2275,,43.0,Feuil1
Oued Tataouine,588.0,676.0,0.9,7.5,1.4,1.697,,0.29,121.0,Feuil1
Oued Tlelet- el Ferch,405.0,459.0,1.1,3.5,1.8,1.765,0.051,,98.0,Feuil1
Graguer-Essed,8.0,16.0,1.5,3.5,0.88,0.02,0.86,,2.0,Feuil1
Plaine smar,872.0,935.0,1.0,13.0,2.75,4.414,,1.527,161.0,Feuil1
,,,,,,,,,,Feuil1
Plaine el Ouara,19.0,42.0,4.0,10.0,0.9,0.102,0.8,,11.0,Feuil1
Om el Khielet,207.0,293.0,3.0,8.0,1.5,0.503,1.01,,34.0,Feuil1
Piemont Oriental du Dahar,417.0,533.0,1.5,10.0,2.6,2.163,0.465,,83.0,Feuil1
Ain Dekouk,78.0,114.0,2.0,11.0,2.0,0.636,1.366,,32.0,Feuil1
"B,V Remtha",30.0,57.0,2.5,10.0,0.41,0.03,0.38,,7.0,Feuil1
Underflow Dahar,1.0,12.0,1.5,10.0,0.5,0.02,0.48,,4.0,Feuil1
Total,2688.0,3217.0,0.9,13.0,15.14,11.52,3.83,,76.0,Feuil1
