nom_nappe,prof_min_m,prof_max_m,salinite_min_gr,salinite_max_gr,quantite,quantite_cons,nomb_puit,nomb_puit_equi,feuille
- غمراسن – المرابطين,15,50,2.0,5.0,0.4,0.17,78,61,Feuil1
- حوض وادي تطاوين,15,50,1.5,8.5,0.4,1.716,659,571,Feuil1
- حوض تاللت الفرش,8,50,1.5,7.0,1.4,1.716,450,397,Feuil1
- حوض وادي قراقر,15,50,1.5,4.0,1.8,1.757,17,9,Feuil1
-حوض الصمار,8,50,2.0,12.0,0.88,0.0236,759,709,Feuil1
- الوعرة,15,50,2.5,10.0,2.75,4.17,41,18,Feuil1
- سبخة أم الخياالت,15,50,1.5,9.0,0.9,0.1,264,182,Feuil1
- حوض الظاهر الشرقي,15,50,2.0,10.0,1.5,0.451,500,382,Feuil1
- حوض عين دكوك,15,50,1.5,3.0,2.6,2.14,111,75,Feuil1
- حوض رمثة,6,50,2.5,10.0,2.0,0.633,57,30,Feuil1
- الظاهر,10,50,1.5,10.0,0.41,0.03,12,1,Feuil1
