annee,delegation,superficie_dattes_ha,production_dattes_tonne,production_olives_tonne,production_grenades_tonne,production_raisins_tonne,production_figues_tonne,production_amandes_tonne,production_divers_tonne,feuille
2021.0,Tozeur,3093.0,24910.0,214.7,480,57,330,,600.0,Feuil1
2021.0,Degache*,1483.0,9034.0,460.5,430,52,290,,550.0,Feuil1
2021.0,Tamaghza,587.0,3600.0,129.8,30,25,60,33.0,285.0,Feuil1
2021.0,Nefta,1660.0,14161.0,254.5,325,41,270,,500.0,Feuil1
2021.0,Hezoua,1077.0,5670.0,26.0,5,5,25,,100.0,Feuil1
2021.0,Hammet eljerid,825.0,3910.0,,*,*,*,,,Feuil1
2021.0,Total,8725.0,61285.0,1085.5,1270,180,975,33.0,2035.0,Feuil1
2022.0,Tozeur,3093.0,21110.0,225.6,485,70,335,,675.0,Feuil1
2022.0,Degache,1483.0,7630.0,482.2,435.5,65,295,,655.0,Feuil1
2022.0,Tamaghza,587.0,3350.0,141.2,30,25,60,40.0,320.0,Feuil1
2022.0,Nefta,1660.0,11290.0,261.8,327,55,275,,600.0,Feuil1
2022.0,Hezoua,1077.0,5150.0,28.1,5,5,25,,150.0,Feuil1
2022.0,Hammet eljerid,825.0,3430.0,,,,,,,Feuil1
2022.0,Total,8725.0,51960.0,1139.2,1282.5,220,990,40.0,2400.0,Feuil1
2023.0,Tozeur,3093.0,25000.0,225.6,490,70,340,,750.0,Feuil1
2023.0,Degache,1483.0,10350.0,482.2,445,65,315,,700.0,Feuil1
2023.0,Tamaghza,587.0,4300.0,141.5,40,25,70,42.0,380.0,Feuil1
2023.0,Nefta,1660.0,14020.0,261.8,330,55,290,,650.0,Feuil1
2023.0,Hezoua,1077.0,6400.0,28.1,7,5,30,,170.0,Feuil1
2023.0,Hammet eljerid,825.0,3600.0,,,,,,,Feuil1
2023.0,Total,8725.0,63670.0,1139.1999999999998,1312,220,1045,42.0,2650.0,Feuil1
2024.0,Tozeur,3093.0,21283.2,190.0,,,,0.0,103.4,Feuil1
2024.0,Degache,1483.0,8822.75,306.0,,,,0.0,207.0,Feuil1
2024.0,Tamaghza,587.0,4118.0,146.0,,,,49.5,45.0,Feuil1
2024.0,Nefta,1660.0,13407.245,104.0,,,,0.0,197.8,Feuil1
2024.0,Hezoua,1077.0,7032.04,22.0,,,,0.0,16.8,Feuil1
2024.0,Hammet eljerid,825.0,4119.8,40.0,,,,0.0,30.0,Feuil1
2024.0,Total,0.0,58783.035,808.0,,,,,600.0,Feuil1
2024.0,Extension privé productive,1000.0,3507.0,,,,,,,Feuil1
2024.0,Total,9725.0,121073.07,1616.0,,,,49.5,1200.0,Feuil1
,,,,,,,,,,Feuil1
,,,,,,,,,,Feuil1
