annee,delegation_fr,delegation_ar,nbre_projets_declares,projets_declares_investissement_milles_dt,projets_declares_emplois,nbre_projets_approuves,projets_approuves_investissement_milles_dt,projets_approuves_emplois,nombre_projets_realises,projets_realises_investissement_milles_dt,projets_realises_emplois,feuille
2022,Tozeur,تــوزر,192.0,2032.744,,123,1236.794,,82,945.028,,Feuil2
2022,Dgueche,دقــاش,88.0,887.147,,20,186.213,,23,188.601,,Feuil2
2022,Tamaghza,تمغـزة,56.0,876.521,,38,363.172,,15,136.483,,Feuil2
2022,Nefta,نفطــة,181.0,1819.853,,126,1253.959,,54,638.399,,Feuil2
2022,Hazoua,حـزوة,25.0,312.107,,16,143.096,,9,74.006,,Feuil2
2022,Hammet El Djérid,حامة الجريد,41.0,306.105,,20,140.89,,25,180.173,,Feuil2
2022,Total,المجموع,583.0,6234.477,,343,3324.124,,208,2162.69,,Feuil2
2023,Tozeur,تــوزر,63.0,577.032,,53,450.192,,59,431.659,,Feuil2
2023,Dgueche,دقــاش,48.0,432.897,,54,303.513,,32,142.867,,Feuil2
2023,Tamaghza,تمغـزة,1.0,24.0,,0,0.0,,23,214.723,,Feuil2
2023,Nefta,نفطــة,56.0,635.71,,81,663.376,,56,655.338,,Feuil2
2023,Hazoua,حـزوة,,0.0,,8,81.78,,9,65.72,,Feuil2
2023,Hammet El Djérid,حامة الجريد,16.0,155.032,,32,212.568,,10,29.3,,Feuil2
2023,Total,المجموع,184.0,1824.671,0.0,228,1711.4289999999999,0.0,189,1539.607,0.0,Feuil2
2024,Tozeur,تــوزر,23.0,513.934734,,20,478.761,,46,280.6,,Feuil2
2024,Dgueche,دقــاش,12.0,106.458055,,10,182.068,,10,100.628,,Feuil2
2024,Tamaghza,تمغـزة,6.0,132.0,,3,30.221,,9,18.467,,Feuil2
2024,Nefta,نفطــة,45.0,750.685302,,40,609.267,,79,239.037,,Feuil2
2024,Hazoua,حـزوة,3.0,25.92575,,2,20.554,,3,14.182,,Feuil2
2024,Hammet El Djérid,حامة الجريد,7.0,99.0,,6,102.95,,8,30.192,,Feuil2
2024,Total,المجموع,96.0,1628.003841,,81,1423.8210000000001,,155,683.106,,Feuil2
