annee,delegation,nombre,superficie_irrigable_ha,superficie_irriguee_ha,feuille
2022,Tozeur,22,2774,2774,Feuil1
2022,Degache,16,1257,1257,Feuil1
2022,Tamaghza,8,635,635,Feuil1
2022,Nefta,11,1497,1497,Feuil1
2022,Hezoua,19,1066,1066,Feuil1
2022,Hammet eljerid,9,762,762,Feuil1
2022,Total,85,7991,7991,Feuil1
2023,Tozeur,22,3093,3093,Feuil1
2023,Degache,16,1483,1483,Feuil1
2023,Tamaghza,8,587,587,Feuil1
2023,Nefta,11,1660,1660,Feuil1
2023,Hezoua,19,1077,1077,Feuil1
2023,Hammet eljerid,9,825,825,Feuil1
2023,Total,85,8725,8725,Feuil1
2024,Tozeur,22,3093,3093,Feuil1
2024,Degache,16,1483,1483,Feuil1
2024,Tamaghza,9,587,587,Feuil1
2024,Nefta,13,1660,1660,Feuil1
2024,Hezoua,19,1077,1077,Feuil1
2024,Hammet eljerid,9,825,825,Feuil1
2024,Total,88,8725,8725,Feuil1
