unnamed_0,unnamed_1,unnamed_2,unnamed_3,unnamed_4,unnamed_5,unnamed_6,unnamed_7,unnamed_8,unnamed_9,unnamed_10,feuille
جدول : الإستثمار الفلاحي - توزيع المشاريع صنف أ حسب القطاع,,,,,,,,,,,Feuil1
,,,,,,,,,,,Feuil1
,المشاريع المصرح بها,,,المشاريع المصادق عليها,,,المشاريع المنجزة,,,,Feuil1
,Projets déclarés_x000D_,,,Projets approuvés,,,Projets réalisés,,,,Feuil1
القطاع,العدد,الإستثمار (أ.د),مواطن الشغل,العدد,الإستثمار (أ.د),مواطن الشغل,العدد,الإستثمار (أ.د),مواطن الشغل,Branche,Feuil1
,Nbre,Investissement,Emplois,Nbre,Investissement,Emplois,Nbre,Investissement,Emplois,,Feuil1
,,(milles DT),,,(milles DT),,,(milles DT),,,Feuil1
الفلاحة,626,6462,268,626,6462,268,626,6462,268,Agriculture,Feuil1
الصيد البحـري و,,,,,,,,,,Pêche et,Feuil1
تربية الأحياء المائيـة,,,,,,,,,,Aquaculture,Feuil1
الخدمات الفلاحية,,,,,,,,,,Services agricoles,Feuil1
المجموع,,,,,,,,,,Total,Feuil1
المصدر : المندوبية الجهوية للتنمية الفلاحية,,,,,,,,,,Source : Commissariat Régional au Développement Agricole,Feuil1
