annee,delegation_ar,delegation_fr,nombre_unites_condionnement_dattes_certifiees,capacite_tonne_par_jour,feuille
2021,تــوزر,Tozeur,8.0,7000.0,Feuil1
2021,دقــاش,Dgueche,9.0,10800.0,Feuil1
2021,تمغـزة,Tamaghza,0.0,0.0,Feuil1
2021,نفطــة,Nefta,8.0,4900.0,Feuil1
2021,حـزوة,Hazoua,1.0,700.0,Feuil1
2021,حامة الجريد,Hammet El Djérid,2.0,600.0,Feuil1
2021,المجموع,Total,28.0,24000.0,Feuil1
2022,تــوزر,Tozeur,6.0,10100.0,Feuil1
2022,دقــاش,Dgueche,11.0,11400.0,Feuil1
2022,تمغـزة,Tamaghza,0.0,,Feuil1
2022,نفطــة,Nefta,7.0,4850.0,Feuil1
2022,حـزوة,Hazoua,2.0,800.0,Feuil1
2022,حامة الجريد,Hammet El Djérid,2.0,600.0,Feuil1
2022,المجموع,Total,28.0,27750.0,Feuil1
2023,تــوزر,Tozeur,6.0,13150.0,Feuil1
2023,دقــاش,Dgueche,11.0,14180.0,Feuil1
2023,تمغـزة,Tamaghza,,,Feuil1
2023,نفطــة,Nefta,5.0,4030.0,Feuil1
2023,حـزوة,Hazoua,1.0,750.0,Feuil1
2023,حامة الجريد,Hammet El Djérid,1.0,100.0,Feuil1
2023,المجموع,Total,24.0,32210.0,Feuil1
2024,تــوزر,Tozeur,6.0,13150.0,Feuil1
2024,دقــاش,Dgueche,11.0,14180.0,Feuil1
2024,تمغـزة,Tamaghza,,,Feuil1
2024,نفطــة,Nefta,5.0,4030.0,Feuil1
2024,حـزوة,Hazoua,1.0,750.0,Feuil1
2024,حامة الجريد,Hammet El Djérid,1.0,100.0,Feuil1
2024,المجموع,Total,24.0,32210.0,Feuil1
