annee,delegation,superficie_ha,production_tonne,feuille
2020.0,Carthage,,,Feuil1
2020.0,Medina,,,Feuil1
2020.0,Beb Bhar,,,Feuil1
2020.0,Beb Souika,,,Feuil1
2020.0,Omrane,,,Feuil1
2020.0,Omrane Supérieur,,,Feuil1
2020.0,Ettahrir,,,Feuil1
2020.0,Menzah,,,Feuil1
2020.0,Cité Khadhra,,,Feuil1
2020.0,Bardo,,,Feuil1
2020.0,Sejoumi,,,Feuil1
2020.0,Ezzouhour,,,Feuil1
2020.0,Hrairia,196.85000000000002,650.0,Feuil1
2020.0,Sidi Hassine,230,597.0,Feuil1
2020.0,Ouardia,,,Feuil1
2020.0,Kabaria,,,Feuil1
2020.0,Sidi El Bechir,,,Feuil1
2020.0,Jebel Jelloud,,,Feuil1
2020.0,La Goulette,,,Feuil1
2020.0,Kram,,,Feuil1
2020.0,La marsa,4,50.0,Feuil1
2020.0,TOTAL,430.85,1297.0,Feuil1
2021.0,Carthage,,,Feuil1
2021.0,Medina,,,Feuil1
2021.0,Beb Bhar,,,Feuil1
2021.0,Beb Souika,,,Feuil1
2021.0,Omrane,,,Feuil1
2021.0,Omrane Supérieur,,,Feuil1
2021.0,Ettahrir,,,Feuil1
2021.0,Menzah,,,Feuil1
2021.0,Cité Khadhra,,,Feuil1
2021.0,Bardo,,,Feuil1
2021.0,Sejoumi,,,Feuil1
2021.0,Ezzouhour,,,Feuil1
2021.0,Hrairia,(1) 16,120.0,Feuil1
2021.0,Sidi Hassine,278.45,1101.0,Feuil1
2021.0,Ouardia,,,Feuil1
2021.0,Kabaria,,,Feuil1
2021.0,Sidi El Bechir,,,Feuil1
2021.0,Jebel Jelloud,,,Feuil1
2021.0,La Goulette,,,Feuil1
2021.0,Kram,,,Feuil1
2021.0,La marsa,4,40.0,Feuil1
2021.0,TOTAL,298.45,1261.0,Feuil1
2022.0,Carthage,,,Feuil1
2022.0,Medina,,,Feuil1
2022.0,Beb Bhar,,,Feuil1
2022.0,Beb Souika,,,Feuil1
2022.0,Omrane,,,Feuil1
2022.0,Omrane Supérieur,,,Feuil1
2022.0,Ettahrir,,,Feuil1
2022.0,Menzah,,,Feuil1
2022.0,Cité Khadhra,,,Feuil1
2022.0,Bardo,,,Feuil1
2022.0,Sejoumi,,,Feuil1
2022.0,Ezzouhour,,,Feuil1
2022.0,Hrairia,16,90.0,Feuil1
2022.0,Sidi Hassine,280,1325.0,Feuil1
2022.0,Ouardia,,,Feuil1
2022.0,Kabaria,,,Feuil1
2022.0,Sidi El Bechir,,,Feuil1
2022.0,Jebel Jelloud,,,Feuil1
2022.0,La Goulette,,,Feuil1
2022.0,Kram,,,Feuil1
2022.0,La marsa,4,20.0,Feuil1
2022.0,TOTAL,300,1435.0,Feuil1
2023.0,Carthage,,,Feuil1
2023.0,Medina,,,Feuil1
2023.0,Beb Bhar,,,Feuil1
2023.0,Beb Souika,,,Feuil1
2023.0,Omrane,,,Feuil1
2023.0,Omrane Supérieur,,,Feuil1
2023.0,Ettahrir,,,Feuil1
2023.0,Menzah,,,Feuil1
2023.0,Cité Khadhra,,,Feuil1
2023.0,Bardo,,,Feuil1
2023.0,Sejoumi,,,Feuil1
2023.0,Ezzouhour,,,Feuil1
2023.0,Hrairia,20,86.8,Feuil1
2023.0,Sidi Hassine,196,718.9,Feuil1
2023.0,Ouardia,,,Feuil1
2023.0,Kabaria,,,Feuil1
2023.0,Sidi El Bechir,,,Feuil1
2023.0,Jebel Jelloud,,,Feuil1
2023.0,La Goulette,,,Feuil1
2023.0,Kram,,,Feuil1
2023.0,La marsa,15,67.8,Feuil1
2023.0,TOTAL,231,873.5,Feuil1
2024.0,Carthage,,,Feuil1
2024.0,Medina,,,Feuil1
2024.0,Beb Bhar,,,Feuil1
2024.0,Beb Souika,,,Feuil1
2024.0,Omrane,,,Feuil1
2024.0,Omrane Supérieur,,,Feuil1
2024.0,Ettahrir,,,Feuil1
2024.0,Menzah,,,Feuil1
2024.0,Cité Khadhra,,,Feuil1
2024.0,Bardo,,,Feuil1
2024.0,Sejoumi,,,Feuil1
2024.0,Ezzouhour,,,Feuil1
2024.0,Hrairia,20,90.0,Feuil1
2024.0,Sidi Hassine,196,845.0,Feuil1
2024.0,Ouardia,,,Feuil1
2024.0,Kabaria,,,Feuil1
2024.0,Sidi El Bechir,,,Feuil1
2024.0,Jebel Jelloud,,,Feuil1
2024.0,La Goulette,,,Feuil1
2024.0,Kram,,,Feuil1
2024.0,La marsa,15,73.0,Feuil1
2024.0,TOTAL,231,1008.0,Feuil1
,,,,Feuil1
