campagne_agricole,culture,superficie_irriguee_hectares,production_irriguee_tonnes,feuille
2017/2018,البصل الشتوي,2.0,40.0,Feuil1
2017/2018,الثوم,0.0,0.0,Feuil1
2017/2018,السفنارية,1.0,30.0,Feuil1
2017/2018,اللفت,4.0,80.0,Feuil1
2017/2018,البسباس,1.0,25.0,Feuil1
2017/2018,البروكلو والكرمب,4.0,100.0,Feuil1
2017/2018,القنارية,7.5,150.0,Feuil1
2017/2018,الجلبانة,0.0,0.0,Feuil1
2017/2018,الفول,0.5,3.5,Feuil1
2017/2018,المعدنوس,2.0,40.0,Feuil1
2017/2018,الكلافس,1.0,10.0,Feuil1
2017/2018,السلق,2.0,40.0,Feuil1
2017/2018,السبناخ,1.0,20.0,Feuil1
2017/2018,الخص,0.5,5.0,Feuil1
2017/2018,أنواع أخرى,9.0,162.0,Feuil1
2018/2019,البطاطا,1.0,8.0,Feuil1
2018/2019,البصل الشتوي,3.0,60.0,Feuil1
2018/2019,الثوم,0.0,0.0,Feuil1
2018/2019,السفنارية,3.0,90.0,Feuil1
2018/2019,اللفت,2.0,40.0,Feuil1
2018/2019,البسباس,2.0,50.0,Feuil1
2018/2019,البروكلو و الكرمب,0.5,12.5,Feuil1
2018/2019,القنارية,7.0,140.0,Feuil1
2018/2019,الجلبانة,0.5,3.0,Feuil1
2018/2019,الفول,2.0,14.0,Feuil1
2018/2019,المعدنوس,2.0,40.0,Feuil1
2018/2019,الكلافس,2.0,20.0,Feuil1
2018/2019,السلق,1.0,20.0,Feuil1
2018/2019,السبناخ,1.0,20.0,Feuil1
2018/2019,الخص,1.5,30.0,Feuil1
2018/2019,أنواع اخرى,3.0,54.0,Feuil1
2019/2020,البطاطا,0.0,0.0,Feuil1
2019/2020,البصل الشتوي,3.0,60.0,Feuil1
2019/2020,الثوم,0.0,0.0,Feuil1
2019/2020,السفنارية,2.0,60.0,Feuil1
2019/2020,اللفت,1.0,20.0,Feuil1
2019/2020,البسباس,2.0,50.0,Feuil1
2019/2020,البروكلو و الكرمب,1.0,25.0,Feuil1
2019/2020,القنارية,2.0,40.0,Feuil1
2019/2020,الجلبانة,2.0,12.0,Feuil1
2019/2020,الفول,1.0,7.0,Feuil1
2019/2020,المعدنوس,2.0,40.0,Feuil1
2019/2020,الكلافس,1.0,10.0,Feuil1
2019/2020,السلق,1.0,20.0,Feuil1
2019/2020,السبناخ,1.0,20.0,Feuil1
2019/2020,الخص,2.0,40.0,Feuil1
2019/2020,أنواع اخرى,1.0,18.0,Feuil1
2020/2021,البطاطا,3.0,60.0,Feuil1
2020/2021,البصل الشتوي,3.0,602.0,Feuil1
2020/2021,الثوم,0.0,0.0,Feuil1
2020/2021,السفنارية,2.0,60.0,Feuil1
2020/2021,اللفت,1.0,20.0,Feuil1
2020/2021,البسباس,2.0,50.0,Feuil1
2020/2021,البروكلو و الكرمب,2.0,50.0,Feuil1
2020/2021,القنارية,1.0,20.0,Feuil1
2020/2021,الجلبانة,0.5,3.0,Feuil1
2020/2021,الفول,0.0,0.0,Feuil1
2020/2021,المعدنوس,1.0,10.0,Feuil1
2020/2021,الكلافس,1.0,20.0,Feuil1
2020/2021,السلق,1.0,20.0,Feuil1
2020/2021,السبناخ,1.0,20.0,Feuil1
2020/2021,الخص,2.0,40.0,Feuil1
2020/2021,أنواع اخرى,1.0,18.0,Feuil1
2021/2022,البطاطا,3.0,54.0,Feuil1
2021/2022,البصل الشتوي,2.0,36.0,Feuil1
2021/2022,الثوم,0.0,0.0,Feuil1
2021/2022,السفنارية,3.0,90.0,Feuil1
2021/2022,اللفت,1.0,20.0,Feuil1
2021/2022,البسباس,3.0,75.0,Feuil1
2021/2022,البروكلو و الكرمب,1.0,20.0,Feuil1
2021/2022,القنارية,4.0,72.0,Feuil1
2021/2022,الجلبانة,1.0,6.0,Feuil1
2021/2022,الفول,1.0,8.0,Feuil1
2021/2022,المعدنوس,4.0,80.0,Feuil1
2021/2022,الكلافس,2.0,20.0,Feuil1
2021/2022,السلق,3.0,60.0,Feuil1
2021/2022,السبناخ,3.0,60.0,Feuil1
2021/2022,الخص,3.0,60.0,Feuil1
2021/2022,أنواع اخرى,6.0,120.0,Feuil1
