annee,delegation,superficie_ha,production_tonne,feuille
2020,Carthage,,,Feuil1
2020,Medina,,,Feuil1
2020,Beb Bhar,,,Feuil1
2020,Beb Souika,,,Feuil1
2020,Omrane,,,Feuil1
2020,Omrane Supérieur,,,Feuil1
2020,Ettahrir,,,Feuil1
2020,Menzah,,,Feuil1
2020,Cité Khadhra,,,Feuil1
2020,Bardo,,,Feuil1
2020,Sejoumi,,,Feuil1
2020,Ezzouhour,3.0,40.0,Feuil1
2020,Hrairia,5.0,69.0,Feuil1
2020,Sidi Hassine,40.5,559.0,Feuil1
2020,Ouardia,,,Feuil1
2020,Kabaria,,,Feuil1
2020,Sidi El Bechir,,,Feuil1
2020,Jebel Jelloud,,,Feuil1
2020,La Goulette,,,Feuil1
2020,Kram,,,Feuil1
2020,La marsa,30.0,414.0,Feuil1
2020,TOTAL,78.5,1082.0,Feuil1
2021,Carthage,,,Feuil1
2021,Medina,,,Feuil1
2021,Beb Bhar,,,Feuil1
2021,Beb Souika,,,Feuil1
2021,Omrane,,,Feuil1
2021,Omrane Supérieur,,,Feuil1
2021,Ettahrir,,,Feuil1
2021,Menzah,,,Feuil1
2021,Cité Khadhra,,,Feuil1
2021,Bardo,,,Feuil1
2021,Sejoumi,,,Feuil1
2021,Ezzouhour,1.0,15.0,Feuil1
2021,Hrairia,4.0,57.0,Feuil1
2021,Sidi Hassine,40.0,575.0,Feuil1
2021,Ouardia,,,Feuil1
2021,Kabaria,,,Feuil1
2021,Sidi El Bechir,,,Feuil1
2021,Jebel Jelloud,,,Feuil1
2021,La Goulette,,,Feuil1
2021,Kram,,,Feuil1
2021,La marsa,29.0,417.0,Feuil1
2021,TOTAL,74.0,1064.0,Feuil1
2022,Carthage,4.0,60.0,Feuil1
2022,Medina,,,Feuil1
2022,Beb Bhar,,,Feuil1
2022,Beb Souika,,,Feuil1
2022,Omrane,,,Feuil1
2022,Omrane Supérieur,,,Feuil1
2022,Ettahrir,,,Feuil1
2022,Menzah,,,Feuil1
2022,Cité Khadhra,,,Feuil1
2022,Bardo,1.0,15.0,Feuil1
2022,Sejoumi,,,Feuil1
2022,Ezzouhour,9.25,135.0,Feuil1
2022,Hrairia,4.0,60.0,Feuil1
2022,Sidi Hassine,49.0,725.0,Feuil1
2022,Ouardia,,,Feuil1
2022,Kabaria,,,Feuil1
2022,Sidi El Bechir,,,Feuil1
2022,Jebel Jelloud,,,Feuil1
2022,La Goulette,,,Feuil1
2022,Kram,2.25,30.0,Feuil1
2022,La marsa,20.0,300.0,Feuil1
2022,TOTAL,89.5,1325.0,Feuil1
2023,Carthage,4.0,50.0,Feuil1
2023,Medina,,,Feuil1
2023,Beb Bhar,,,Feuil1
2023,Beb Souika,,,Feuil1
2023,Omrane,,,Feuil1
2023,Omrane Supérieur,,,Feuil1
2023,Ettahrir,,,Feuil1
2023,Menzah,,,Feuil1
2023,Cité Khadhra,,,Feuil1
2023,Bardo,1.0,10.0,Feuil1
2023,Sejoumi,,,Feuil1
2023,Ezzouhour,8.0,120.0,Feuil1
2023,Hrairia,4.0,60.0,Feuil1
2023,Sidi Hassine,30.5,476.0,Feuil1
2023,Ouardia,,,Feuil1
2023,Kabaria,,,Feuil1
2023,Sidi El Bechir,,,Feuil1
2023,Jebel Jelloud,,,Feuil1
2023,La Goulette,,,Feuil1
2023,Kram,2.0,30.0,Feuil1
2023,La marsa,22.0,330.0,Feuil1
2023,TOTAL,71.5,1076.0,Feuil1
2024,Carthage,4.0,60.0,Feuil1
2024,Medina,,,Feuil1
2024,Beb Bhar,,,Feuil1
2024,Beb Souika,,,Feuil1
2024,Omrane,,,Feuil1
2024,Omrane Supérieur,,,Feuil1
2024,Ettahrir,,,Feuil1
2024,Menzah,,,Feuil1
2024,Cité Khadhra,,,Feuil1
2024,Bardo,1.0,15.0,Feuil1
2024,Sejoumi,,,Feuil1
2024,Ezzouhour,8.0,116.0,Feuil1
2024,Hrairia,4.0,60.0,Feuil1
2024,Sidi Hassine,16.0,230.0,Feuil1
2024,Ouardia,,,Feuil1
2024,Kabaria,,,Feuil1
2024,Sidi El Bechir,,,Feuil1
2024,Jebel Jelloud,,,Feuil1
2024,La Goulette,,,Feuil1
2024,Kram,1.0,15.0,Feuil1
2024,La marsa,10.0,145.0,Feuil1
2024,TOTAL,44.0,641.0,Feuil1
