port_ou_site_abrite,type_barque,nbre_actif,nbre_non_actif,main_oeuvre,feuille
حلق الوادي,مراكب صيد ساحلي مجهزة بمحرك,89,5,337,Feuil1
حلق الوادي,مراكب صيد ساحلي بدون بمحرك,7,3,16,Feuil1
حلق الوادي,وحدات الصيد بالجر,26,0,338,Feuil1
حلق الوادي,وحدات صيد سمك أزرق,5,0,54,Feuil1
حلق الوادي,الصيد على الأقدام,20,0,20,Feuil1
سيدي بوسعيد,مراكب صيد ساحلي مجهزة بمحرك,42,2,136,Feuil1
سيدي بوسعيد,مراكب صيد ساحلي بدون بمحرك,5,1,14,Feuil1
صلامبو,مراكب صيد ساحلي مجهزة بمحرك,54,2,148,Feuil1
صلامبو,مراكب صيد ساحلي بدون بمحرك,3,0,9,Feuil1
قمرت والمرسى,مراكب صيد ساحلي مجهزة بمحرك,81,4,219,Feuil1
قمرت والمرسى,مراكب صيد ساحلي بدون بمحرك,4,0,10,Feuil1
خير الدين,مراكب صيد ساحلي مجهزة بمحرك,35,1,91,Feuil1
بحيرة تونس الشمالية,مراكب صيد ساحلي بدون بمحرك,23,0,66,Feuil1
بحيرة تونس الشمالية,مراكب الكاماتشات (بدون محرك),6,0,12,Feuil1
بحيرة تونس الشمالية,المصائد الثابتة للحنشة,9,0,67,Feuil1
