type_de_culture_fr,type_de_culture_ar,annee,superficie_hectares,production_quintaux,feuille
Blé dur en sec,قمح صلب مطري,2007,597.0,10746.0,Feuil1
Blé dur en irrigué,قمح صلب مروي,2007,89.0,2670.0,Feuil1
Blé tendre en sec,قمح لين مطري,2007,241.0,3615.0,Feuil1
Blé tendre en irrigué,قمح لين مروي,2007,0.0,0.0,Feuil1
Orge en grains en sec,شعير مطري,2007,615.0,6765.0,Feuil1
Orge en grains en irrigué,شعير مروي,2007,0.0,0.0,Feuil1
Triticale en sec,تريتيكال مطري,2007,4.0,100.0,Feuil1
Triticale en irrigué,تريتيكال مروي,2007,0.0,0.0,Feuil1
Autres céréales irrigués,حبوب أخرى,2007,22.0,242.0,Feuil1
Blé dur en sec,قمح صلب مطري,2008,625.0,11250.0,Feuil1
Blé dur en irrigué,قمح صلب مروي,2008,120.0,2160.0,Feuil1
Blé tendre en sec,قمح لين مطري,2008,340.0,6800.0,Feuil1
Blé tendre en irrigué,قمح لين مروي,2008,0.0,0.0,Feuil1
Orge en grains en sec,شعير مطري,2008,620.0,11160.0,Feuil1
Orge en grains en irrigué,شعير مروي,2008,25.0,450.0,Feuil1
Triticale en sec,تريتيكال مطري,2008,4.0,72.0,Feuil1
Triticale en irrigué,تريتيكال مروي,2008,0.0,0.0,Feuil1
Autres céréales irrigués,حبوب أخرى,2008,0.0,0.0,Feuil1
Blé dur en sec,قمح صلب مطري,2009,560.0,9030.0,Feuil1
Blé dur en irrigué,قمح صلب مروي,2009,150.0,3750.0,Feuil1
Blé tendre en sec,قمح لين مطري,2009,230.0,4140.0,Feuil1
Blé tendre en irrigué,قمح لين مروي,2009,0.0,0.0,Feuil1
Orge en grains en sec,شعير مطري,2009,470.0,9400.0,Feuil1
Orge en grains en irrigué,شعير مروي,2009,0.0,0.0,Feuil1
Triticale en sec,تريتيكال مطري,2009,40.0,520.0,Feuil1
Triticale en irrigué,تريتيكال مروي,2009,0.0,0.0,Feuil1
Autres céréales irrigués,حبوب أخرى,2009,0.0,0.0,Feuil1
Blé dur en sec,قمح صلب مطري,2010,499.0,11735.0,Feuil1
Blé dur en irrigué,قمح صلب مروي,2010,117.0,4095.0,Feuil1
Blé tendre en sec,قمح لين مطري,2010,148.0,3155.0,Feuil1
Blé tendre en irrigué,قمح لين مروي,2010,28.0,980.0,Feuil1
Orge en grains en sec,شعير مطري,2010,666.0,11638.0,Feuil1
Orge en grains en irrigué,شعير مروي,2010,25.0,625.0,Feuil1
Triticale en sec,تريتيكال مطري,2010,0.0,0.0,Feuil1
Triticale en irrigué,تريتيكال مروي,2010,0.0,0.0,Feuil1
Autres céréales irrigués,حبوب أخرى,2010,0.0,0.0,Feuil1
Blé dur en sec,قمح صلب مطري,2011,391.0,8210.0,Feuil1
