societe,nature_du_produit,quantite_kilos
المتوسطية,قشريات حية,62.3
المتوسطية,رخويات مثلجة,450.0
المتوسطية,أسماك مثلجة,4483.2
أزباسكا,قشريات مجمدة,83276.0
أزباسكا,رخويات مجمدة,4527.0
ديدون ماري,قشريات مجمدة,615.0
ديدون ماري,قشريات حية,506.9
ديدون ماري,أسماك مثلجة,3035.5
ديدون ماري,أسماك مجمدة,300.0
بن حميدة,أسماك مثلجة,2086.5
كامكسبور,قشريات مجمدة,5406.0
كامكسبور,أسماك مثلجة,1840.0
أكيمار,قشريات مجمدة,4802.0
أكيمار,رخويات مجمدة,304.0
ماديترنيان باسكا,مصبرات سمك أزرق,15900.0
سليماكس,قشريات مثلجة,95.0
سليماكس,رخويات مثلجة,337.5
سليماكس,أسماك مثلجة,7216.2
سليماكس,تربية مائية,10000.0
موليس دوس,رخويات حية,1434.0
