societe,nature_du_produit,quantite_kilos
المتوسطية,رخويات مثلجة,164.0
المتوسطية,أسماك مثلجة,399.0
أزابسكا,قشريات مجمدة,88320.0
أزابسكا,رخويات مجمدة,22050.0
فيشر,قشريات مجمدة,2445.4
فيشر,رخويات مثلجة,180.0
فيشر,رخويات مجمدة,1502.0
فيشر,أسماك مثلجة,1935.5
سليماكس,أسماك مثلجة,3346.5
ديدون ماري,قشريات مجمدة,300.0
ديدون ماري,رخويات مثلجة,20.0
ديدون ماري,رخويات مجمدة,218.0
ديدون ماري,رخويات حية,154.0
ماديترنيان باسكا,نصف مصبرات سمك أزرق,15654.0
ماريستار,قشريات مثلجة,205.0
ماريستار,أسماك مثلجة,2686.0
لابلان,قشريات مجمدة,16506.0
موليس دوس,رخويات حية,7891.6
