societe,nature_du_produit,quantite_kilos
المتوسطية,رخويات مثلجة,350.0
المتوسطية,رخويات مجمدة,2232.39
المتوسطية,أسماك مثلجة,4201.0
المتوسطية,أسماك مجمدة,268.1
المتوسطية,تربية مائية,650.0
أزباسكا,قشريات مجمدة,3704.0
أزباسكا,رخويات مثلجة,2166.0
أزباسكا,رخويات مجمدة,1098.0
ديدون ماري,قشريات مجمدة,560.0
ديدون ماري,رخويات مثلجة,441.3
ديدون ماري,رخويات مجمدة,14417.3
ديدون ماري,رخويات حية,9656.48
ديدون ماري,أسماك مثلجة,1347.3
بن حميدة,قشريات مثلجة,8856.6
بن حميدة,رخويات مثلجة,357.5
بن حميدة,أسماك مثلجة,5889.5
فيشار,قشريات مثلجة,1700.0
فيشار,أسماك مثلجة,1739.0
فيشار,تربية مائية,200.0
كامكسبور,قشريات مثلجة,76.3
كامكسبور,رخويات مثلجة,201.6
كامكسبور,أسماك مثلجة,5579.1
أكيمار,قشريات مجمدة,1934.0
أكيمار,أسماك مجمدة,630.0
ماديترنيان باسكا,نصف مصبرات سمك أزرق,17190.0
أرباكس,تربية مائية,21360.0
