annee,delegation,viandes_rouges_tonne,viandes_blanches_tonne,lait_tonne,laine_tonne,miel_tonne,feuille
2020.0,Carthage,2.4,,25,0.2,,Feuil1
2020.0,Medina,,,,,,Feuil1
2020.0,Beb Bhar,,,,,,Feuil1
2020.0,Beb Souika,,,,,,Feuil1
2020.0,Omrane,3.3,,40,0.2,0.04744525547445255,Feuil1
2020.0,Omrane Supérieur,,,,,,Feuil1
2020.0,Ettahrir,0.95,,20,,,Feuil1
2020.0,Menzah,,,,,,Feuil1
2020.0,Cité Khadhra,,,,,0.25304136253041365,Feuil1
2020.0,Bardo,,,,,,Feuil1
2020.0,Sejoumi,8.3,,50,0.9,,Feuil1
2020.0,Ezzouhour,0.7,,0,0.1,6.326034063260341,Feuil1
2020.0,Hrairia,86.5,,975,6.8,1.4708029197080292,Feuil1
2020.0,Sidi Hassine,381.0,300,6775,11.0,1.4708029197080292,Feuil1
2020.0,Ouardia,3.0,,15,0.3,0.854014598540146,Feuil1
2020.0,Kabaria,30.0,,400,2.4,,Feuil1
2020.0,Sidi El Bechir,,,,,,Feuil1
2020.0,Jebel Jelloud,1.1,,25,,,Feuil1
2020.0,La Goulette,1.7,,20,0.2,,Feuil1
2020.0,Kram,15.25,,275,0.6,,Feuil1
2020.0,La marsa,79.8,11,1580,1.3,2.5778588807785887,Feuil1
2020.0,TOTAL,614.0,311,10200,24.0,13.0,Feuil1
2021.0,Carthage,2.6,,24,0.3,,Feuil1
2021.0,Medina,,,,,,Feuil1
2021.0,Beb Bhar,,,,,,Feuil1
2021.0,Beb Souika,,,,,,Feuil1
2021.0,Omrane,3.45,,30,0.3,0.04744525547445255,Feuil1
2021.0,Omrane Supérieur,,,,,,Feuil1
2021.0,Ettahrir,0.95,,18,,,Feuil1
2021.0,Menzah,,,,,,Feuil1
2021.0,Cité Khadhra,,,,,0.25304136253041365,Feuil1
2021.0,Bardo,,,,,,Feuil1
2021.0,Sejoumi,8.6,,39,1.1,,Feuil1
2021.0,Ezzouhour,1.65,,18,0.1,6.326034063260341,Feuil1
2021.0,Hrairia,93.1,,915,8.0,1.4708029197080292,Feuil1
2021.0,Sidi Hassine,363.4,300,6060,13.0,1.4708029197080292,Feuil1
2021.0,Ouardia,3.35,,12,0.4,0.854014598540146,Feuil1
2021.0,Kabaria,35.5,,360,2.9,,Feuil1
2021.0,Sidi El Bechir,,,,,,Feuil1
2021.0,Jebel Jelloud,1.1,,24,,,Feuil1
2021.0,La Goulette,1.3,,0,0.2,,Feuil1
2021.0,Kram,15.7,,240,0.8,,Feuil1
2021.0,La marsa,77.3,1,1460,1.5,2.5778588807785887,Feuil1
2021.0,TOTAL,608.0,301,9200,28.5,13.0,Feuil1
2022.0,Carthage,2.7,,25,0.3,,Feuil1
2022.0,Medina,,,,,,Feuil1
2022.0,Beb Bhar,,,,,,Feuil1
2022.0,Beb Souika,,,,,,Feuil1
2022.0,Omrane,3.35,,30,0.3,0.03,Feuil1
2022.0,Omrane Supérieur,,,,,,Feuil1
2022.0,Ettahrir,0.9,,18,,,Feuil1
2022.0,Menzah,,,,,,Feuil1
2022.0,Cité Khadhra,,,,,0.1,Feuil1
2022.0,Bardo,,,,,,Feuil1
2022.0,Sejoumi,8.4,,35,1.1,,Feuil1
2022.0,Ezzouhour,1.65,,18,0.1,5.0,Feuil1
2022.0,Hrairia,88.2,,825,8.0,1.1,Feuil1
2022.0,Sidi Hassine,349.4,249,5622,13.4,1.0,Feuil1
2022.0,Ouardia,3.25,,12,0.4,0.45,Feuil1
2022.0,Kabaria,35.0,,350,2.8,,Feuil1
2022.0,Sidi El Bechir,,,,,,Feuil1
2022.0,Jebel Jelloud,1.1,,25,,,Feuil1
2022.0,La Goulette,1.3,,0,0.2,,Feuil1
2022.0,Kram,14.55,,190,0.8,,Feuil1
2022.0,La marsa,73.2,1,1350,1.7,2.3,Feuil1
2022.0,TOTAL,583.0,250,8500,29.0,9.98,Feuil1
2023.0,Carthage,1.3,,,0.3,,Feuil1
2023.0,Medina,,,,,,Feuil1
2023.0,Beb Bhar,,,,,,Feuil1
2023.0,Beb Souika,,,,,,Feuil1
2023.0,Omrane,3.5,,30,0.3,0.03,Feuil1
2023.0,Omrane Supérieur,,,,,,Feuil1
2023.0,Ettahrir,0.9,,19,,,Feuil1
2023.0,Menzah,,,,,,Feuil1
2023.0,Cité Khadhra,,,,,0.1,Feuil1
2023.0,Bardo,,,,,,Feuil1
2023.0,Sejoumi,7.1,,0,1.1,,Feuil1
2023.0,Ezzouhour,1.65,,19,0.1,4.1,Feuil1
2023.0,Hrairia,88.7,,825,8.0,1.0,Feuil1
2023.0,Sidi Hassine,344.75,249,5454,13.5,1.0,Feuil1
2023.0,Ouardia,3.25,,12,0.4,0.45,Feuil1
2023.0,Kabaria,34.7,,240,2.8,,Feuil1
2023.0,Sidi El Bechir,,,,,,Feuil1
2023.0,Jebel Jelloud,3.5,,24,,,Feuil1
2023.0,La Goulette,3.75,,50,0.3,,Feuil1
2023.0,Kram,14.55,,175,0.8,,Feuil1
2023.0,La marsa,70.85,1,1252,1.6,2.3,Feuil1
2023.0,TOTAL,578.5,250,8100,29.200000000000003,8.98,Feuil1
2024.0,Carthage,1.3,,,0.3,,Feuil1
2024.0,Medina,,,,,,Feuil1
2024.0,Beb Bhar,,,,,,Feuil1
2024.0,Beb Souika,,,,,,Feuil1
2024.0,Omrane,4.0,,42,0.3,0.03,Feuil1
2024.0,Omrane Supérieur,,,,,,Feuil1
2024.0,Ettahrir,0.9,,18,,,Feuil1
2024.0,Menzah,,,,,,Feuil1
2024.0,Cité Khadhra,,,,,0.1,Feuil1
2024.0,Bardo,,,,,,Feuil1
2024.0,Sejoumi,7.1,,0,1.1,,Feuil1
2024.0,Ezzouhour,1.25,,12,0.1,4.1,Feuil1
2024.0,Hrairia,90.7,,855,8.3,1.0,Feuil1
2024.0,Sidi Hassine,344.25,221,5685,13.5,1.0,Feuil1
2024.0,Ouardia,2.7,,0,0.4,0.45,Feuil1
2024.0,Kabaria,30.2,,240,3.0,,Feuil1
2024.0,Sidi El Bechir,,,,,,Feuil1
2024.0,Jebel Jelloud,3.5,,24,0.4,,Feuil1
2024.0,La Goulette,3.95,,48,0.3,,Feuil1
2024.0,Kram,14.3,,216,0.8,,Feuil1
2024.0,La marsa,45.85,1,740,1.7,2.3,Feuil1
2024.0,TOTAL,550.0,222,7880,30.0,8.98,Feuil1
,,,,,,,Feuil1
,,,* يتم انتاج حوالي 2 مليون وحدة من البيض المعد للتفقيس موجه لانتاج المفارخ و ليس للاستهلاك.,,,,Feuil1
