camapagne_agricole,type_dolives,conduite_culturale,supeficie_cultivee_hectares,production_tonnes,feuille
2017/2018,Olives à huile,en sec,1557.0,2077.0,Feuil1
2017/2018,Olives de table,en sec,110.0,126.0,Feuil1
2017/2018,Olives à huile,en irrigué,84.0,284.0,Feuil1
2017/2018,Olives de table,en irrigué,10.0,66.0,Feuil1
2018/2019,Olives à huile,en sec,1569.0,1640.0,Feuil1
2018/2019,Olives de table,en sec,110.0,120.0,Feuil1
2018/2019,Olives à huile,en irrigué,84.0,160.0,Feuil1
2018/2019,Olives de table,en irrigué,10.0,57.0,Feuil1
2019/2020,Olives à huile,en sec,1569.0,2601.0,Feuil1
2019/2020,Olives de table,en sec,110.0,143.0,Feuil1
2019/2020,Olives à huile,en irrigué,84.0,227.0,Feuil1
2019/2020,Olives de table,en irrigué,10.0,66.0,Feuil1
2020/2021,Olives à huile,en sec,1568.64,555.5,Feuil1
2020/2021,Olives de table,en sec,110.0,46.6,Feuil1
2020/2021,Olives à huile,en irrigué,83.81,57.0,Feuil1
2020/2021,Olives de table,en irrigué,9.6,20.0,Feuil1
2021/2022,Olives à huile,en sec,1568.0,2188.0,Feuil1
2021/2022,Olives de table,en sec,110.0,112.0,Feuil1
2021/2022,Olives à huile,en irrigué,84.0,278.0,Feuil1
2021/2022,Olives de table,en irrigué,10.0,56.0,Feuil1
2022/2023,Olives à huile,en sec,1564.0,2058.0,Feuil1
2022/2023,Olives de table,en sec,110.0,87.0,Feuil1
2022/2023,Olives à huile,en irrigué,88.0,229.0,Feuil1
2022/2023,Olives de table,en irrigué,10.0,56.0,Feuil1
