annee,delegation,superficie_irrigable_hectares,superficie_irriguee_hectares,superficie_exploitee_hectares,feuille
2016.0,Carthage,5,5,7,Feuil1
2016.0,الزهور,10,6,6,Feuil1
2016.0,الحرايرية,52,"27,5",25,Feuil1
2016.0,سيدي حسين,313,200,"210,263",Feuil1
2016.0,الكرم,2,0,0,Feuil1
2016.0,المرسى,90,50,73,Feuil1
2017.0,قرطاج,3,3,"4,25",Feuil1
2017.0,الزهور,"10,5",4,8,Feuil1
2017.0,الحرايرية,"47,5",25,30,Feuil1
2017.0,سيدي حسين,314,256,"277,75",Feuil1
2017.0,الكرم,2,0,0,Feuil1
2017.0,المرسى,95,64,84,Feuil1
2018.0,قرطاج,3,2,2,Feuil1
2018.0,الزهور,11,2,3,Feuil1
2018.0,الحرايرية,48,18,18,Feuil1
2018.0,سيدي حسين,316,228,255,Feuil1
2018.0,الكرم,0,0,0,Feuil1
2018.0,المرسى,90,50,55,Feuil1
2020.0,قرطاج,3,1,1,Feuil1
2020.0,تونس المدينة,,,,Feuil1
2020.0,باب بحر,,,,Feuil1
2020.0,باب سويقة,,,,Feuil1
2020.0,العمران,,,,Feuil1
2020.0,العمران الأعلى,,,,Feuil1
2020.0,التحرير,,,,Feuil1
2020.0,المنزه,,,,Feuil1
2020.0,حي الخضراء,,,,Feuil1
2020.0,باردو,,,,Feuil1
2020.0,السيجومي,,,,Feuil1
2020.0,الزهور,11,2,2,Feuil1
2020.0,الحرايرية,48,12,12,Feuil1
2020.0,سيدي حسين,316,176.75,200,Feuil1
2020.0,الوردية,,,,Feuil1
2020.0,الكبارية,,,,Feuil1
2020.0,سيدي البشير,,,,Feuil1
2020.0,جبل الجلود,,,,Feuil1
2020.0,حلق الوادي,,,,Feuil1
2020.0,الكرم,0,0,0,Feuil1
2020.0,المرسى,80,35,39.75,Feuil1
2021.0,قرطاج,3,1,1,Feuil1
2021.0,تونس المدينة,,,,Feuil1
2021.0,باب بحر,,,,Feuil1
2021.0,باب سويقة,,,,Feuil1
2021.0,العمران,,,,Feuil1
2021.0,العمران الأعلى,,,,Feuil1
2021.0,التحرير,,,,Feuil1
2021.0,المنزه,,,,Feuil1
2021.0,حي الخضراء,,,,Feuil1
2021.0,باردو,,,,Feuil1
2021.0,السيجومي,,,,Feuil1
2021.0,الزهور,11,2,2,Feuil1
2021.0,الحرايرية,48,12,12,Feuil1
2021.0,سيدي حسين,316,116.5,149.5,Feuil1
2021.0,الوردية,,,,Feuil1
2021.0,الكبارية,,,,Feuil1
2021.0,سيدي البشير,,,,Feuil1
2021.0,جبل الجلود,,,,Feuil1
2021.0,حلق الوادي,,,,Feuil1
2021.0,الكرم,0,0,0,Feuil1
2021.0,المرسى,80,35,39.5,Feuil1
2022.0,قرطاج,4,2.5,5,Feuil1
2022.0,تونس المدينة,,,,Feuil1
2022.0,باب بحر,,,,Feuil1
2022.0,باب سويقة,,,,Feuil1
2022.0,العمران,,,,Feuil1
2022.0,العمران الأعلى,,,,Feuil1
2022.0,التحرير,,,,Feuil1
2022.0,المنزه,,,,Feuil1
2022.0,حي الخضراء,,,,Feuil1
2022.0,باردو,0.5,0.5,1,Feuil1
2022.0,السيجومي,,,,Feuil1
2022.0,الزهور,9.65,4.9,9.5,Feuil1
2022.0,الحرايرية,44.5,16.05,19.15,Feuil1
2022.0,سيدي حسين,392.88,195.36,224.29,Feuil1
2022.0,الوردية,,,,Feuil1
2022.0,الكبارية,,,,Feuil1
2022.0,سيدي البشير,,,,Feuil1
2022.0,جبل الجلود,,,,Feuil1
2022.0,حلق الوادي,,,,Feuil1
2022.0,الكرم,3,2.5,3,Feuil1
2022.0,المرسى,77.95,23.09,34.11,Feuil1
2023.0,قرطاج,4,3,5,Feuil1
2023.0,تونس المدينة,,0,0,Feuil1
2023.0,باب بحر,,0,0,Feuil1
2023.0,باب سويقة,,0,0,Feuil1
2023.0,العمران,,0,0,Feuil1
2023.0,العمران الأعلى,,0,0,Feuil1
2023.0,التحرير,,0,0,Feuil1
2023.0,المنزه,,0,0,Feuil1
2023.0,حي الخضراء,,0,0,Feuil1
2023.0,باردو,0.5,0.5,1,Feuil1
2023.0,السيجومي,,0,0,Feuil1
2023.0,الزهور,9.65,5,10,Feuil1
2023.0,الحرايرية,44.5,15,17,Feuil1
2023.0,سيدي حسين,390.88,183.25,221.25,Feuil1
2023.0,الوردية,,0,0,Feuil1
2023.0,الكبارية,,0,0,Feuil1
2023.0,سيدي البشير,,0,0,Feuil1
2023.0,جبل الجلود,,0,0,Feuil1
2023.0,حلق الوادي,,0,0,Feuil1
2023.0,الكرم,3,2,3,Feuil1
2023.0,المرسى,77.95,20,35,Feuil1
2024.0,قرطاج,"**8,5",4,5,Feuil1
2024.0,تونس المدينة,,,,Feuil1
2024.0,باب بحر,,,,Feuil1
2024.0,باب سويقة,,,,Feuil1
2024.0,العمران,,,,Feuil1
2024.0,العمران الأعلى,,,,Feuil1
2024.0,التحرير,,,,Feuil1
2024.0,المنزه,,,,Feuil1
2024.0,حي الخضراء,,,,Feuil1
2024.0,باردو,"**0,5",0.5,2,Feuil1
2024.0,السيجومي,,,,Feuil1
2024.0,الزهور,"**9,6",3.5,5,Feuil1
2024.0,الحرايرية,"**26,15",18.5,29,Feuil1
2024.0,سيدي حسين,"**278,5",227,220.5,Feuil1
2024.0,الوردية,,,,Feuil1
2024.0,الكبارية,,,,Feuil1
2024.0,سيدي البشير,,,,Feuil1
2024.0,جبل الجلود,,,,Feuil1
2024.0,حلق الوادي,,,,Feuil1
2024.0,الكرم,"**4,75",3,3.5,Feuil1
2024.0,المرسى,**62,20,30,Feuil1
,,,,,Feuil1
,,,** تم تعديل المساحات السقوية وفقا لنتائج أشغال الجغر فة الرقمية,,Feuil1
,,,,QGIS  لإعداد طبقة رقمية للأراضي السقوية,Feuil1
