campagne_agricole,delegation,maraichage_tonne,cultures_industrielles_tonne,arboriculture_sans_olivier_tonne,cerealiculture_tonne,legumineuses_tonne,fourrages_tonne,olives_tonne,feuille
2019/2020,زغوان,6955,5400.0,11420,11222.0,164.0,19635.0,14150,Feuil1
2019/2020,الزريبة,2350,100.0,2280,3170.0,2.5,3630.0,10650,Feuil1
2019/2020,بئر مشارقة,595,9500.0,5765,20740.0,110.0,34110.0,10590,Feuil1
2019/2020,الفحص,32870,10000.0,6145,29912.0,300.0,51138.0,34375,Feuil1
2019/2020,الناظور,112990,,2495,2324.0,84.0,2050.0,7730,Feuil1
2019/2020,صواف,13000,,2937,2915.0,,9600.0,3880,Feuil1
2019/2020,المجموع,168760,25000.0,31042,70283.0,660.5,120163.0,81375,Feuil1
2020/2021,زغوان,6300,5400.0,14150,15769.0,360.5,36700.0,1645,Feuil1
2020/2021,الزريبة,1050,100.0,2960,8953.0,86.9,10071.0,860,Feuil1
2020/2021,بئر مشارقة,500,9500.0,6450,26170.0,170.0,34410.0,6870,Feuil1
2020/2021,الفحص,24275,10000.0,7045,49678.0,900.0,110725.0,5210,Feuil1
2020/2021,الناظور,95605,,3210,3835.0,55.5,5840.0,3440,Feuil1
2020/2021,صواف,8225,,3680,2018.0,0.0,5916.0,935,Feuil1
2020/2021,المجموع,135955,25000.0,37495,106423.0,1572.9,203662.0,18960,Feuil1
2021/2022,زغوان,3348,70.0,11230,8386.0,154.8,9685.0,3265,Feuil1
2021/2022,الزريبة,1545,0.0,2815,3320.0,0.0,13260.0,1241,Feuil1
2021/2022,بئر مشارقة,0,199.0,6100,20181.0,90.0,22300.0,6010,Feuil1
2021/2022,الفحص,21064,81.0,6706,31352.0,761.0,73682.0,14825,Feuil1
2021/2022,الناظور,95233,0.0,2950,5435.0,55.5,743.0,3525,Feuil1
2021/2022,صواف,6673,0.0,3258,1609.0,0.0,8140.0,754,Feuil1
2021/2022,المجموع,127863,350.0,33059,70283.0,1061.3,127810.0,29620,Feuil1
2022/2023,زغوان,4292,0.0,9606,81.0,0.0,208.0,1910,Feuil1
2022/2023,الزريبة,630,0.0,1606,145.0,58.0,22.0,1365,Feuil1
2022/2023,بئر مشارقة,1080,0.0,5555,,0.0,6.0,6565,Feuil1
2022/2023,الفحص,22743,0.0,8064,280.0,60.0,370.0,17920,Feuil1
2022/2023,الناظور,100439,0.0,2170,3125.5,20.0,0.0,2260,Feuil1
2022/2023,صواف,1132,0.0,2467,32.0,0.0,10.0,1360,Feuil1
2022/2023,المجموع,130316,0.0,29468,3663.5,138.0,616.0,31380,Feuil1
2023/2024,زغوان,4541,,10711,5631.0,175.0,7207.5,1880,Feuil1
2023/2024,الزريبة,666,,2216,2376.0,0.0,,2085,Feuil1
2023/2024,بئر مشارقة,1140,,5731,3856.0,0.0,13064.0,7465,Feuil1
2023/2024,الفحص,24010,,10943,17798.0,920.0,74450.0,8070,Feuil1
2023/2024,الناظور,106053,,2073,5038.0,101.0,,910,Feuil1
2023/2024,صواف,1190,,2695,219.0,70.0,,490,Feuil1
2023/2024,المجموع,137600,,34369,34918.0,1266.0,94721.5,20900,Feuil1
