annee,delegation,centres_de_collecte,capacite_de_refroidissement_litre_jour,quantite_collectee_1000l,feuille
2020,زغوان,,,,Agric21
2020,الزريبة,,,,Agric21
2020,بئر مشارقة,,,,Agric21
2020,الفحص,1.0,18000.0,1162.0,Agric21
2020,الناظور,,,,Agric21
2020,صواف,,,,Agric21
2020,المجمـوع,1.0,18000.0,1162.0,Agric21
2021,زغوان,,,,Agric21
2021,الزريبة,,,,Agric21
2021,بئر مشارقة,,,,Agric21
2021,الفحص,1.0,18000.0,1723.7,Agric21
2021,الناظور,,,,Agric21
2021,صواف,,,,Agric21
2021,المجمـوع,,18000.0,1723.7,Agric21
2022,زغوان,,,,Agric21
2022,الزريبة,,,,Agric21
2022,بئر مشارقة,,,,Agric21
2022,الفحص,1.0,18000.0,2032.4,Agric21
2022,الناظور,,5000.0,545.3,Agric21
2022,صواف,1.0,,,Agric21
2022,المجمـوع,2.0,23000.0,2577.7,Agric21
2023,زغوان,,,,Agric21
2023,الزريبة,,,,Agric21
2023,بئر مشارقة,,,,Agric21
2023,الفحص,1.0,18000.0,2099.1,Agric21
2023,الناظور,1.0,8000.0,1791.0,Agric21
2023,صواف,,,,Agric21
2023,المجمـوع,2.0,26000.0,3890.1,Agric21
2024,زغوان,,,,Agric21
2024,الزريبة,,,,Agric21
2024,بئر مشارقة,,,,Agric21
2024,الفحص,1.0,18000.0,2076.0,Agric21
2024,الناظور,1.0,8000.0,1901.0,Agric21
2024,صواف,,,,Agric21
2024,المجمـوع,2.0,26000.0,3977.0,Agric21
