annee,nom_delegation,nom_delegation_arabe,superficie_terres_agricoles_labourables_ha,superficie_terres_non_labourables_ha,superficie_forets_et_parcours_ha,feuille
2021,Zaghouan,زغوان,28000,1000,12000,Vocation des terres
2021,Zriba,الزريبة,24370,1200,10430,Vocation des terres
2021,Bir Mchergua,بئر مشارقة,15300,1700,10000,Vocation des terres
2021,Fahs,الفحص,21000,1000,12000,Vocation des terres
2021,Nadhour,الناظور,52330,4000,33670,Vocation des terres
2021,Saouaf,صواف,44000,1100,8900,Vocation des terres
2021,TOTAL,المجموع,185000,10000,87000,Vocation des terres
2022,Zaghouan,زغوان,1000,1000,12000,Vocation des terres
2022,Zriba,الزريبة,1200,1200,10430,Vocation des terres
2022,Bir Mchergua,بئر مشارقة,1700,1700,10000,Vocation des terres
2022,Fahs,الفحص,1000,1000,12000,Vocation des terres
2022,Nadhour,الناظور,4000,4000,33670,Vocation des terres
2022,Saouaf,صواف,1100,1100,8900,Vocation des terres
2022,TOTAL,المجموع,185000,10000,87000,Vocation des terres
2023,Zaghouan,زغوان,1000,1000,12000,Vocation des terres
2023,Zriba,الزريبة,1200,1200,10430,Vocation des terres
2023,Bir Mchergua,بئر مشارقة,1700,1700,10000,Vocation des terres
2023,Fahs,الفحص,1000,1000,12000,Vocation des terres
2023,Nadhour,الناظور,4000,4000,33670,Vocation des terres
2023,Saouaf,صواف,1100,1100,8900,Vocation des terres
2023,TOTAL,المجموع,185000,10000,87000,Vocation des terres
2024,Zaghouan,زغوان,1000,1000,12000,Vocation des terres
2024,Zriba,الزريبة,1200,1200,10430,Vocation des terres
2024,Bir Mchergua,بئر مشارقة,1700,1700,10000,Vocation des terres
2024,Fahs,الفحص,1000,1000,12000,Vocation des terres
2024,Nadhour,الناظور,4000,4000,33670,Vocation des terres
2024,Saouaf,صواف,1100,1100,8900,Vocation des terres
2024,TOTAL,المجموع,185000,10000,87000,Vocation des terres
