annee,nom_delegation,nom_delegation_arabe,superficies_irrigables_ha,superficies_irriguees_ha,superficies_exploitees_ha,feuille
2021,Zaghouan,زغوان,375,213.0,214.0,Agric6
2021,Zriba,الزريبة,543,125.0,125.0,Agric6
2021,Bir Mchergua,بئر مشارقة,400,0.0,0.0,Agric6
2021,Fahs,الفحص,728,331.5,374.5,Agric6
2021,Nadhour,الناظور,1395,700.0,1036.0,Agric6
2021,Saouaf,صواف,835,219.5,368.0,Agric6
2021,TOTAL,المجموع,4276,1589.0,2117.5,Agric6
2022,Zaghouan,زغوان,375,226.25,233.25,Agric6
2022,Zriba,الزريبة,543,107.5,107.5,Agric6
2022,Bir Mchergua,بئر مشارقة,400,0.0,0.0,Agric6
2022,Fahs,الفحص,728,235.0,235.0,Agric6
2022,Nadhour,الناظور,1395,766.25,1088.25,Agric6
2022,Saouaf,صواف,835,206.0,339.5,Agric6
2022,TOTAL,المجموع,4276,1541.0,2003.5,Agric6
2023,Zaghouan,زغوان,375,226.25,233.25,Agric6
2023,Zriba,الزريبة,543,107.5,107.5,Agric6
2023,Bir Mchergua,بئر مشارقة,0,0.0,0.0,Agric6
2023,Fahs,الفحص,728,277.0,298.0,Agric6
2023,Nadhour,الناظور,1395,547.0,757.5,Agric6
2023,Saouaf,صواف,835,153.75,259.75,Agric6
2023,TOTAL,المجموع,3876,1311.5,1656.0,Agric6
2024,Zaghouan,زغوان,486,416.0,422.0,Agric6
2024,Zriba,الزريبة,543,168.0,168.0,Agric6
2024,Bir Mchergua,بئر مشارقة,0,0.0,0.0,Agric6
2024,Fahs,الفحص,728,19.0,19.0,Agric6
2024,Nadhour,الناظور,1395,537.0,747.5,Agric6
2024,Saouaf,صواف,835,234.0,319.0,Agric6
2024,TOTAL,المجموع,3987,1374.0,1675.5,Agric6
