annee,delegation,delegation_arabe,centres_de_collecte,capacite_de_refroidissement_litre_jour,quantite_collectee_1000l,feuille
2021,Zaghouan,زغوان,,,,Agric21
2021,Zriba,الزريبة,,,,Agric21
2021,Bir Mchergua,بئر مشارقة,,,,Agric21
2021,Fahs,الفحص,1.0,18000.0,1723.7,Agric21
2021,Nadhour,الناظور,,,,Agric21
2021,Saouaf,صواف,,,,Agric21
2021,Total,المجمـوع,1.0,18000.0,1723.7,Agric21
2022,Zaghouan,زغوان,,,,Agric21
2022,Zriba,الزريبة,,,,Agric21
2022,Bir Mchergua,بئر مشارقة,,,,Agric21
2022,Fahs,الفحص,1.0,18000.0,2032.4,Agric21
2022,Nadhour,الناظور,1.0,5000.0,545.3,Agric21
2022,Saouaf,صواف,,,,Agric21
2022,Total,المجمـوع,2.0,23000.0,2577.7,Agric21
2023,Zaghouan,زغوان,,,,Agric21
2023,Zriba,الزريبة,,,,Agric21
2023,Bir Mchergua,بئر مشارقة,,,,Agric21
2023,Fahs,الفحص,1.0,18000.0,2099.1,Agric21
2023,Nadhour,الناظور,1.0,8000.0,1791.0,Agric21
2023,Saouaf,صواف,,,,Agric21
2023,Total,المجمـوع,2.0,26000.0,3890.1,Agric21
2024,Zaghouan,زغوان,,,,Agric21
2024,Zriba,الزريبة,,,,Agric21
2024,Bir Mchergua,بئر مشارقة,,,,Agric21
2024,Fahs,الفحص,1.0,18000.0,2076.0,Agric21
2024,Nadhour,الناظور,1.0,8000.0,1901.0,Agric21
2024,Saouaf,صواف,,,,Agric21
2024,Total,المجمـوع,2.0,26000.0,3977.0,Agric21
