annee,nom_de_la_nappe_fr,nom_de_la_nappe_ar,nombre_de_puits,ressources_mm3,exploitation_mm3,feuille
2021.0,EL FAHS,الفحص,189.0,9.37,11.06,Agric4
2021.0,BIR M’CHERGUA,بئر مشارقة,159.0,7.7,5.36,Agric4
2021.0,ZRIBA,الزريبة,86.0,2.9,1.67,Agric4
2021.0,ZAGHOUAN,زغوان,260.0,9.08,12.08,Agric4
2021.0,ENNADHOUR-SAOUAF,الناظور-صواف,627.0,8.0,19.42,Agric4
2021.0,Total,المجموع,1321.0,37.05,49.59,Agric4
2022.0,EL FAHS,الفحص,193.0,9.37,12.91,Agric4
2022.0,BIR M’CHERGUA,بئر مشارقة,160.0,11.7,6.26,Agric4
2022.0,ZRIBA,الزريبة,87.0,2.9,1.66,Agric4
2022.0,ZAGHOUAN,زغوان,261.0,9.08,12.8,Agric4
2022.0,ENNADHOUR-SAOUAF,الناظور-صواف,646.0,8.0,19.82,Agric4
2022.0,Total,المجموع,1347.0,41.05,53.45,Agric4
2023.0,EL FAHS,الفحص,196.0,9.37,11.18,Agric4
2023.0,BIR M’CHERGUA,بئر مشارقة,163.0,11.7,6.11,Agric4
2023.0,ZRIBA,الزريبة,90.0,2.9,1.2,Agric4
2023.0,ZAGHOUAN,زغوان,268.0,9.08,10.82,Agric4
2023.0,ENNADHOUR-SAOUAF,الناظور-صواف,646.0,8.0,18.68,Agric4
2023.0,Total,المجموع,1363.0,41.05,47.99,Agric4
2024.0,EL FAHS,الفحص,200.0,9.37,11.34,Agric4
2024.0,BIR M’CHERGUA,بئر مشارقة,174.0,11.7,6.51,Agric4
2024.0,ZRIBA,الزريبة,95.0,2.9,1.19,Agric4
2024.0,ZAGHOUAN,زغوان,272.0,9.08,10.9,Agric4
2024.0,ENNADHOUR-SAOUAF,الناظور-صواف,648.0,8.0,18.1,Agric4
2024.0,Total,المجموع,1388.0,41.05,48.04,Agric4
,,,,,,Agric4
,,,,,,Agric4
,,,,,,Agric4
,,,,,,Agric4
,,,,,,Agric4
