unnamed_0,feuille,تطور_استغلال_البحيرات_الجبلية,unnamed_1,unnamed_2,unnamed_3,unnamed_4,unnamed_5,unnamed_6,unnamed_7,unnamed_8,unnamed_9,unnamed_10,تطور_استغلال_السدود_الكبرى_و_السدود_الجبلية,تطور_الموارد_المايية_حسب_المايدة_السطحية,تطور_الموارد_المايية_حسب_المايدة_العميقة,تطور_مساحة_الاراضي_الفلاحية_حسب_الموهلات,تطور_المساحات_المزروعة_حسب_الاستغلال_هك,تطور_المساحات_المزروعة_حسب_الاستغلال_هك_يتبع,تطور_الانتاج_النباتي_حسب_الصنف_طن,تطور_تربية_الماشية_الصغرى,تطور_وتوزيع_الاستثمارات_المصادق_عليها_من_صنفي_ب_ج,unnamed_11,توزيع_المشاريع_الفلاحية_من_صنفي_ب_وج_حسب_القطاع,تطور_معاصر_زيت_الزيتون,مراكز_تجميع_الحليب_حسب_المعتمدية,موشرات_حول_البيية_وجودة_الحياة
,S-SP,,,,,,,,,,,,,,,,,,,,,,,,,
القطاعات المنتجة,S-SP,,,,,,,,,,,,,,,,,,,,,,,,,
Secteurs Productifs,S-SP,,,,,,,,,,,,,,,,,,,,,,,,,
,S-Agri46,,,,,,,,,,,,,,,,,,,,,,,,,
الفلاحة,S-Agri46,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,S-Agri46,,,,,,,,,,,,,,,,,,,,,,,,,
,Agric1,Evolution de l'exploitation des Lacs Collinaires,,,,,,,,,,,,,,,,,,,,,,,,
,Agric1,المعتمدية,عدد البحيرات,,طاقة الخزن (ألف متر مكعب) بعد طرح الترسبات,,المخزون إلى أخر السنة (ألف متر مكعب),,الكمية المستغلة,,DELEGATION,Code géographique,,,,,,,,,,,,,,
,Agric1,,Nbre de lacs,,Capacité de rétention (mille m3),,Reserve (mille m3),,Exploitation,,,,,,,,,,,,,,,,,
,Agric1,,2020,2021.0,2020*,2021.0,2020,2021.0,2020,2021.0,,,,,,,,,,,,,,,,
,Agric1,زغوان,19,19.0,970,970.0,460,110.0,90,67.0,Zaghouan,1651,,,,,,,,,,,,,,
,Agric1,الزريبة,9,9.0,360,360.0,170,50.0,,,Zriba,1652,,,,,,,,,,,,,,
,Agric1,بئر مشارقة,6,6.0,300,300.0,140,5.0,,,Bir Mchergua,1653,,,,,,,,,,,,,,
,Agric1,الفحص,44,44.0,1900,1900.0,1035,155.0,55,48.0,Fahs,1654,,,,,,,,,,,,,,
,Agric1,الناظور,16,16.0,395,395.0,190,10.0,,,Nadhour,1655,,,,,,,,,,,,,,
,Agric1,صواف,21,21.0,380,380.0,185,30.0,24.6,,Saouaf,1656,,,,,,,,,,,,,,
,Agric1,المجموع,115,115.0,4305,4305.0,2180,360.0,169.6,115.0,TOTAL,16,,,,,,,,,,,,,,
,Agric1,المصدر: المندوبية الجهوية للتنمية الفلاحية,,,,,Source : Commissariat Régional au Développement Agricole,,,,,,,,,,,,,,,,,,,
,Agric1,*:مقارنة بالسنوات السابقة، وقع خلال سنة 2020 تحيين طاقة استيعاب البحيرات وذلك بطرح الترسبات,,,,,,,,,,,,,,,,,,,,,,,,
,Agric2,,,,,,,,,,,,Evolution de l'exploitation des grands barrages et des barrages collinaires,,,,,,,,,,,,,
,Agric2,,عدد السدود و السدود الجبلية,,طاقة الخزن (ألف متر مكعب),,الكمية المخزنة (ألف متر مكعب),,*الكمية المستغلة (ألف متر مكعب),,DELEGATION,Code géographique,المعتمدية,,,,,,,,,,,,,
,Agric2,,Nbre de barrages et barrages collinaires,,Capacité de rétention (mille m3),,Reserve (mille m3),,Exploitation,,,,,,,,,,,,,,,,,
,Agric2,,2020,2021.0,2020,2021.0,2020,2021.0,2020,2021.0,,,,,,,,,,,,,,,,
,Agric2,,3,3.0,3910,3910.0,1686,1528.0,321.9,192.0,Zaghouan,1651,زغوان,,,,,,,,,,,,,
,Agric2,,1,1.0,22000,22000.0,6010,2885.0,0,,Zriba,1652,الزريبة,,,,,,,,,,,,,
,Agric2,,1,1.0,43000,43000.0,33320,27095.0,2792.5,3820.0,Bir Mchergua,1653,بئر مشارقة,,,,,,,,,,,,,
,Agric2,,9,9.0,6200,6200.0,2674,1653.0,96,30.0,Fahs,1654,الفحص,,,,,,,,,,,,,
,Agric2,,2,2.0,4876,2950.0,2103,786.0,60,6.0,Nadhour,1655,الناظور,,,,,,,,,,,,,
,Agric2,,5,5.0,20780,20780.0,8964,6287.0,237.5,55.0,Saouaf,1656,صواف,,,,,,,,,,,,,
,Agric2,,21,21.0,100766,98840.0,54757,40234.0,3507.9,4103.0,TOTAL,16,المجموع,,,,,,,,,,,,,
,Agric2,,,,,,Source : Commissariat Régional au Développement Agricole,,,,,,المصدر: المندوبية الجهوية للتنمية الفلاحية,,,,,,,,,,,,,
,Agric2,,,,,,,,,,,,ملاحظة: لم يقع إضافة الكمية التي وقع استغلالها لتغذية المائدة عند احتساب الكمية المستغلة,,,,,,,,,,,,,
,Agric2,,,,,,,,,,,,- وقع تحيين طاقة الخزن في معتمدية الناظور اعتمادا على دراسة أنجزت من طرف مكتب دراسات خلال سنة 2021 تحت إشراف دائرة المحافظة على المياه والتربة,,,,,,,,,,,,,
,Agric3,,,,,,,,,,,,,Evolution des ressources hydriques par nappe phréatique,,,,,,,,,,,,
,Agric3,,عدد الآبـــار,,المــوارد (م.م3),,الاستغلال (م.م3),,Nom de nappe,,,,,اسم المائدة,,,,,,,,,,,,
,Agric3,,Nbre de puits,,Ressources (Mm3),,Exploitation (Mm3),,,,,,,,,,,,,,,,,,,
,Agric3,,2020,2021.0,2020,2021.0,2020,2021.0,,,,,,,,,,,,,,,,,,
,Agric3,,787,812.0,5,5.0,4.9,5.1,EL FAHS,,,,,الفحص,,,,,,,,,,,,
,Agric3,,363,365.0,2.5,2.5,2.2,2.3,SMENJA,,,,,سمنجة,,,,,,,,,,,,
,Agric3,,65,77.0,0.4,0.4,0.32,0.41,BOUCHA,,,,,بوشة,,,,,,,,,,,,
,Agric3,,1123,1151.0,8.3,8.3,5.7,6.0,OUED ERRAML,,,,,وادي الرمل,,,,,,,,,,,,
,Agric3,,60,60.0,2,2.0,0.3,0.3,ENNADHOUR-SAOUAF,,,,,الناظور-صواف,,,,,,,,,,,,
,Agric3,,2398,2465.0,18.200000000000003,18.200000000000003,13.420000000000002,14.11,TOTAL,,,,,المجموع,,,,,,,,,,,,
,Agric3,,,,,,,,Source : Commissariat Régional au Développement Agricole,,,,,المصدر: المندوبية الجهوية للتنمية الفلاحية,,,,,,,,,,,,
,Agric3,,,,,,,,,,,,,*: وقع المحافظة على المعطيات نفسها نظرا لعدم توفر المعلومة كل سنة.,,,,,,,,,,,,
,Agric3,,,,,,,,,,,,,مع العلم أن تحيين هذه المعطيات يكون مرة كل 5 سنوات لذلك تحيينها سيكون في سنة 2025,,,,,,,,,,,,
,Agric4,,,,,,,,,,,,,,Evolution des ressources hydriques par nappe profonde,,,,,,,,,,,
,Agric4,,عدد الآبـــار,,الموارد المتجددة ( م م 3 ),,الاستغلال (م.م3),,Nom de la nappe,,,,,,اسم المائدة,,,,,,,,,,,
,Agric4,,Nbre de puits,,Ressources (Mm3 ),,Exploitation (Mm3),,,,,,,,,,,,,,,,,,,
,Agric4,,2020,2021.0,2020,2021.0,2020,2021.0,,,,,,,,,,,,,,,,,,
,Agric4,,207,189.0,9.37,9.37,11.26,11.06,EL FAHS,,,,,,الفحص,,,,,,,,,,,
,Agric4,,166,159.0,7.7,7.7,5.49,5.36,BIR M’CHERGUA,,,,,,بئر مشارقة,,,,,,,,,,,
,Agric4,,89,86.0,2.9,2.9,2.13,1.67,ZRIBA,,,,,,الزريبة,,,,,,,,,,,
