n,annee_prog,gouvernorat,nom,delegation,secteur,xlamb,ylamb,xutm_corriges,yutm_corriges,s_b_v_ha,cap_m3,cap_m3_sed,cout_paye,avancement,objectifs,financemen,zone_2626,equip,lat,long,feuille
1,1974,ARIANA,"O,Elgrib",Ariana,Cité Ennass,522500.0,395800.0,603291.5682,4079764.7676,110.0,50000,15000.0,50000.0,100,Protection,Pn,Non,Non,36.858163857916644,10.158720657699496,feuille1
2,1974,ARIANA,"O,Rourich",Ariana,Cité Ennass,521400.0,395300.0,601803.5591,4079601.7672,115.0,65000,15000.0,50000.0,100,Protection,Pn,Non,Non,36.85685629825831,10.14200940058358,feuille1
3,1990,ARIANA,Ain snoussi,Ariana,Nahli,523300.0,397950.0,603393.5698,4082205.7822,116.0,70000,60000.0,58000.0,100,Protection,Pn,Non,Non,36.88015301700321,10.160197366748665,feuille1
4,1991,ARIANA,Ain Larbain,Sidi Thabet,Sidi Thabet,515000.0,400600.0,595212.5218,4084732.8007,130.0,80000,55000.0,141200.0,100,Exploitation,Pn,Non,Non,36.9037898245495,10.068729006262913,feuille1
5,1993,ARIANA,Ain Zitouna,Sidi Thabet,Ceb.Ben.Amm,516750.0,404940.0,602263.5635,4083548.7908,205.0,52000,35000.0,123400.0,100,Exploitation,CEE,Non,Non,36.892380378389845,10.147700872268354,feuille1
6,1994,ARIANA,Zardoud,Ariana,Borj Touil,521650.0,400890.0,601972.5625,4085073.8001,63.0,50000,40000.0,179900.0,100,Protection,CEE,Non,Non,36.9061564486672,10.144640852583056,feuille1
7,1994,ARIANA,Ezzitoun,Kalaat land,Nahli,520900.0,397800.0,601199.5565,4081946.7816,60.0,50000,30000.0,170200.0,100,Protection,CEE,Non,Non,36.87805647543518,10.135547827514308,feuille1
8,1996,ARIANA,"O,El Ain",Sidi Thabet,Jabbes,514500.0,394400.0,596782.5293,4080156.7726,158.0,73000,60000.0,121800.0,100,Exploitation,CEE,Non,Oui,36.86238633937935,10.085764798788505,feuille1
9,1998,ARIANA,"O,Sidi Fraj",Sidi Thabet,Cebalet.Ben,517170.0,400050.0,597464.5351,4084320.7974,275.0,70000,65000.0,181000.0,100,Protection,Pn,Non,Non,36.89984641093549,10.09394996062581,feuille1
10,2002,ARIANA,"O,Sfayou",El Mnihla,Sidi Bou Ch,517900.0,396100.0,597930.5364,4080457.7739,60.0,40000,35000.0,188000.0,100,Exploitation,Pn,Non,Non,36.86498091907019,10.098680544003301,feuille1
11,2003,ARIANA,"O,El Kebir",Raoued,Borj Etouil,522500.0,402800.0,602591.5669,4086903.8109,110.0,50000,50000.0,130000.0,100,Exploitation,Pn,Non,Non,36.92258270777938,10.151835919751104,feuille1
12,2006,ARIANA,Elkodia El,El Mnihla,Elbokri,517680.0,397800.0,598102.5382,4082373.7854,50.0,40000,40000.0,172300.0,100,Protection,Pn,Non,Non,36.882231990530165,10.100857721795958,feuille1
13,1988,BEJA,Bir El Krou,Nefza,Jmila,424900.0,405300.0,505888.9858,4088426.8414,40.0,35000,0.0,32000.0,100,Protection,ODESYPANO,Non,Non,36.94187853173447,9.066135869144821,feuille1
