date,nom_ar,nom_fr,unite,valeur
2025-12-21 16:00:01,Point de Rosée,Point de Rosée,°c,11.8
2025-12-21 16:00:01,Rayonnement solaire,Rayonnement solaire,W/m²,34.0
2025-12-21 16:00:01,Pression atmosphérique,Pression atmosphérique,hPa,980.2
2025-12-21 16:00:01,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-21 16:00:01,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.27
2025-12-21 16:00:01,Vitesse du vent,Vitesse du vent,m/s,3.91
2025-12-21 16:00:01,Direction du vent,Direction du vent,Deg,286.2
2025-12-21 16:00:01,Température,Température,°c,13.0
2025-12-21 16:00:01,Humidité relative,Humidité relative,%,92.7
2025-12-21 15:00:01,Point de Rosée,Point de Rosée,°c,13.0
2025-12-21 15:00:01,Rayonnement solaire,Rayonnement solaire,W/m²,64.0
2025-12-21 15:00:01,Pression atmosphérique,Pression atmosphérique,hPa,980.0
2025-12-21 15:00:01,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-21 15:00:01,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.27
2025-12-21 15:00:01,Vitesse du vent,Vitesse du vent,m/s,2.11
2025-12-21 15:00:01,Direction du vent,Direction du vent,Deg,266.0
2025-12-21 15:00:01,Température,Température,°c,13.0
2025-12-21 15:00:01,Humidité relative,Humidité relative,%,100.0
2025-12-21 14:00:01,Point de Rosée,Point de Rosée,°c,13.0
2025-12-21 14:00:01,Rayonnement solaire,Rayonnement solaire,W/m²,72.0
2025-12-21 14:00:01,Pression atmosphérique,Pression atmosphérique,hPa,980.0
2025-12-21 14:00:01,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-21 14:00:01,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.27
2025-12-21 14:00:01,Vitesse du vent,Vitesse du vent,m/s,4.57
2025-12-21 14:00:01,Direction du vent,Direction du vent,Deg,249.1
2025-12-21 14:00:01,Température,Température,°c,13.0
2025-12-21 14:00:01,Humidité relative,Humidité relative,%,100.0
2025-12-21 13:00:01,Point de Rosée,Point de Rosée,°c,13.0
2025-12-21 13:00:01,Rayonnement solaire,Rayonnement solaire,W/m²,126.0
2025-12-21 13:00:01,Pression atmosphérique,Pression atmosphérique,hPa,980.2
2025-12-21 13:00:01,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-21 13:00:01,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.27
2025-12-21 13:00:01,Vitesse du vent,Vitesse du vent,m/s,3.26
2025-12-21 13:00:01,Direction du vent,Direction du vent,Deg,259.2
2025-12-21 13:00:01,Température,Température,°c,13.0
2025-12-21 13:00:01,Humidité relative,Humidité relative,%,100.0
2025-12-21 12:00:01,Point de Rosée,Point de Rosée,°c,13.7
2025-12-21 12:00:01,Rayonnement solaire,Rayonnement solaire,W/m²,181.0
2025-12-21 12:00:01,Pression atmosphérique,Pression atmosphérique,hPa,980.7
2025-12-21 12:00:01,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-21 12:00:01,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.27
2025-12-21 12:00:01,Vitesse du vent,Vitesse du vent,m/s,4.32
2025-12-21 12:00:01,Direction du vent,Direction du vent,Deg,255.1
2025-12-21 12:00:01,Température,Température,°c,13.7
2025-12-21 12:00:01,Humidité relative,Humidité relative,%,100.0
2025-12-21 11:00:01,Point de Rosée,Point de Rosée,°c,12.5
2025-12-21 11:00:01,Rayonnement solaire,Rayonnement solaire,W/m²,103.0
2025-12-21 11:00:01,Pression atmosphérique,Pression atmosphérique,hPa,981.5
2025-12-21 11:00:01,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-21 11:00:01,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.27
2025-12-21 11:00:01,Vitesse du vent,Vitesse du vent,m/s,3.69
2025-12-21 11:00:01,Direction du vent,Direction du vent,Deg,255.5
2025-12-21 11:00:01,Température,Température,°c,12.5
2025-12-21 11:00:01,Humidité relative,Humidité relative,%,100.0
