date,nom_ar,nom_fr,unite,valeur
2025-12-21 16:00:04,L'humidité du sol,L'humidité du sol,mV,778.8
2025-12-21 16:00:04,Température,Température,°c,13.4
2025-12-21 16:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,18.1
2025-12-21 15:00:04,L'humidité du sol,L'humidité du sol,mV,778.5
2025-12-21 15:00:04,Température,Température,°c,13.4
2025-12-21 15:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,18.1
2025-12-21 14:00:04,L'humidité du sol,L'humidité du sol,mV,778.4
2025-12-21 14:00:04,Température,Température,°c,13.3
2025-12-21 14:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,18.1
2025-12-21 13:00:04,L'humidité du sol,L'humidité du sol,mV,779.0
2025-12-21 13:00:04,Température,Température,°c,13.2
2025-12-21 13:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,18.1
2025-12-21 12:00:04,L'humidité du sol,L'humidité du sol,mV,779.2
2025-12-21 12:00:04,Température,Température,°c,13.1
2025-12-21 12:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,18.2
2025-12-21 11:00:04,L'humidité du sol,L'humidité du sol,mV,779.0
2025-12-21 11:00:04,Température,Température,°c,13.1
2025-12-21 11:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,18.1
