date,nom_ar,nom_fr,unite,valeur
2025-12-16 05:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-16 05:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.52
2025-12-16 05:00:00,Température,Température,°c,13.3
2025-12-16 05:00:00,Point de Rosée,Point de Rosée,°c,13.3
2025-12-16 05:00:00,Humidité relative,Humidité relative,%,100.0
2025-12-16 05:00:00,Vitesse du vent,Vitesse du vent,m/s,2.74
2025-12-16 05:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-12-16 05:00:00,Pression atmosphérique,Pression atmosphérique,hPa,982.8
2025-12-16 05:00:00,Direction du vent,Direction du vent,Deg,180.6
2025-12-16 03:00:00,Humidité relative,Humidité relative,%,98.5
2025-12-16 03:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.52
2025-12-16 03:00:00,Vitesse du vent,Vitesse du vent,m/s,0.5
2025-12-16 03:00:00,Direction du vent,Direction du vent,Deg,249.9
2025-12-16 03:00:00,Température,Température,°c,13.5
2025-12-16 03:00:00,Point de Rosée,Point de Rosée,°c,13.2
2025-12-16 03:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-16 03:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-12-16 03:00:00,Pression atmosphérique,Pression atmosphérique,hPa,983.8
2025-12-16 01:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-16 01:00:00,Pression atmosphérique,Pression atmosphérique,hPa,985.2
2025-12-16 01:00:00,Température,Température,°c,14.1
2025-12-16 01:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-12-16 01:00:00,Vitesse du vent,Vitesse du vent,m/s,0.34
2025-12-16 01:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.52
2025-12-16 01:00:00,Point de Rosée,Point de Rosée,°c,13.7
2025-12-16 01:00:00,Direction du vent,Direction du vent,Deg,258.1
2025-12-16 01:00:00,Humidité relative,Humidité relative,%,97.7
