date,nom_ar,nom_fr,unite,valeur
2025-12-19 04:00:04,Température,Température,°c,13.4
2025-12-19 04:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,17.0
2025-12-19 04:00:04,L'humidité du sol,L'humidité du sol,mV,762.1
2025-12-19 03:00:04,Température,Température,°c,13.4
2025-12-19 03:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,17.0
2025-12-19 03:00:04,L'humidité du sol,L'humidité du sol,mV,762.3
2025-12-19 02:00:04,Température,Température,°c,13.4
2025-12-19 02:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,17.0
2025-12-19 02:00:04,L'humidité du sol,L'humidité du sol,mV,762.8
2025-12-19 00:00:04,Température,Température,°c,13.4
2025-12-19 00:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,17.0
2025-12-19 00:00:04,L'humidité du sol,L'humidité du sol,mV,763.2
