date,nom_ar,nom_fr,unite,valeur
2025-12-19 05:00:00,Température,Température,°c,11.4
2025-12-19 05:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,22.3
2025-12-19 05:00:00,L'humidité du sol,L'humidité du sol,mV,829.1
2025-12-19 04:00:00,Température,Température,°c,11.4
2025-12-19 04:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,22.3
2025-12-19 04:00:00,L'humidité du sol,L'humidité du sol,mV,829.0
2025-12-19 03:00:00,Température,Température,°c,11.4
2025-12-19 03:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,22.2
2025-12-19 03:00:00,L'humidité du sol,L'humidité du sol,mV,828.2
2025-12-19 02:00:00,Température,Température,°c,11.4
2025-12-19 02:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,22.2
2025-12-19 02:00:00,L'humidité du sol,L'humidité du sol,mV,828.0
2025-12-19 00:00:00,Température,Température,°c,11.4
2025-12-19 00:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,22.2
2025-12-19 00:00:00,L'humidité du sol,L'humidité du sol,mV,828.0
