date,nom_ar,nom_fr,unite,valeur
2025-12-19 05:00:00,Pression relative,Pression relative,hPa,11062.0
2025-12-19 05:00:00,Niveau du fluid,Niveau du fluid,m,11.28
2025-12-19 04:00:00,Pression relative,Pression relative,hPa,11062.0
2025-12-19 04:00:00,Niveau du fluid,Niveau du fluid,m,11.28
2025-12-19 03:00:00,Pression relative,Pression relative,hPa,11062.0
2025-12-19 03:00:00,Niveau du fluid,Niveau du fluid,m,11.28
2025-12-19 02:00:00,Pression relative,Pression relative,hPa,11062.0
2025-12-19 02:00:00,Niveau du fluid,Niveau du fluid,m,11.28
2025-12-19 00:00:00,Pression relative,Pression relative,hPa,11062.0
2025-12-19 00:00:00,Niveau du fluid,Niveau du fluid,m,11.28
