date,nom_ar,nom_fr,unite,valeur
2025-12-19 05:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,2.4
2025-12-19 05:00:00,Pluie quotidienne,Pluie quotidienne,mm,3.0
2025-12-19 05:00:00,Pluie Totale,Pluie Totale,mm,459.6
2025-12-19 04:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,12.0
2025-12-19 04:00:00,Pluie quotidienne,Pluie quotidienne,mm,2.2
2025-12-19 04:00:00,Pluie Totale,Pluie Totale,mm,458.8
2025-12-19 03:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,2.4
2025-12-19 03:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.4
2025-12-19 03:00:00,Pluie Totale,Pluie Totale,mm,457.0
2025-12-19 02:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,2.4
2025-12-19 02:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.4
2025-12-19 02:00:00,Pluie Totale,Pluie Totale,mm,457.0
2025-12-19 00:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-12-19 00:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-12-19 00:00:00,Pluie Totale,Pluie Totale,mm,456.6
