date,nom_ar,nom_fr,unite,valeur
2025-12-19 06:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,5.8
2025-12-19 06:00:00,L'humidité du sol,L'humidité du sol,mV,530.1
2025-12-19 06:00:00,Température,Température,°C,14.1
2025-12-19 05:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,5.8
2025-12-19 05:00:00,Température,Température,°C,14.2
2025-12-19 05:00:00,L'humidité du sol,L'humidité du sol,mV,530.2
2025-12-19 04:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,5.8
2025-12-19 04:00:00,Température,Température,°C,14.2
2025-12-19 04:00:00,L'humidité du sol,L'humidité du sol,mV,530.0
2025-12-19 02:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,5.8
2025-12-19 02:00:00,L'humidité du sol,L'humidité du sol,mV,530.0
2025-12-19 02:00:00,Température,Température,°C,14.2
2025-12-19 00:00:00,L'humidité du sol,L'humidité du sol,mV,530.0
2025-12-19 00:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,5.8
2025-12-19 00:00:00,Température,Température,°C,14.2
