date,nom_ar,nom_fr,unite,valeur
2025-12-19 06:00:00,Pluie quotidienne,Pluie quotidienne,mm,5.4
2025-12-19 06:00:00,Pluie Totale,Pluie Totale,mm,10044.0
2025-12-19 06:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,2.4
2025-12-19 05:00:00,Pluie quotidienne,Pluie quotidienne,mm,4.8
2025-12-19 05:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,2.4
2025-12-19 05:00:00,Pluie Totale,Pluie Totale,mm,10043.4
2025-12-19 04:00:00,Pluie quotidienne,Pluie quotidienne,mm,4.6
2025-12-19 04:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,4.8
2025-12-19 04:00:00,Pluie Totale,Pluie Totale,mm,10043.2
2025-12-19 02:00:00,Pluie quotidienne,Pluie quotidienne,mm,3.2
2025-12-19 02:00:00,Pluie Totale,Pluie Totale,mm,10041.8
2025-12-19 02:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,2.4
2025-12-19 00:00:00,Pluie Totale,Pluie Totale,mm,10038.6
2025-12-19 00:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-12-19 00:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
