date,nom_ar,nom_fr,unite,valeur
2026-04-18 21:00:00,L'humidité du sol,L'humidité du sol,mV,548.2
2026-04-18 21:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.6
2026-04-18 21:00:00,Température,Température,°C,18.5
2026-04-18 19:00:00,Température,Température,°C,18.4
2026-04-18 19:00:00,L'humidité du sol,L'humidité du sol,mV,548.5
2026-04-18 19:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.6
2026-04-18 17:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.6
2026-04-18 17:00:00,L'humidité du sol,L'humidité du sol,mV,548.4
2026-04-18 17:00:00,Température,Température,°C,18.1
2026-04-18 15:00:00,L'humidité du sol,L'humidité du sol,mV,548.6
2026-04-18 15:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.6
2026-04-18 15:00:00,Température,Température,°C,17.7
2026-04-18 13:00:00,L'humidité du sol,L'humidité du sol,mV,548.5
2026-04-18 13:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.6
2026-04-18 13:00:00,Température,Température,°C,17.5
2026-04-18 11:00:00,Température,Température,°C,17.4
2026-04-18 11:00:00,L'humidité du sol,L'humidité du sol,mV,548.9
2026-04-18 11:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.6
2026-04-18 09:00:00,L'humidité du sol,L'humidité du sol,mV,548.7
2026-04-18 09:00:00,Température,Température,°C,17.5
2026-04-18 09:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.6
2026-04-18 07:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.6
2026-04-18 07:00:00,Température,Température,°C,17.6
2026-04-18 07:00:00,L'humidité du sol,L'humidité du sol,mV,548.6
2026-04-18 05:00:00,L'humidité du sol,L'humidité du sol,mV,548.6
2026-04-18 05:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.6
2026-04-18 05:00:00,Température,Température,°C,17.7
2026-04-18 03:00:00,Température,Température,°C,17.8
2026-04-18 03:00:00,L'humidité du sol,L'humidité du sol,mV,548.5
2026-04-18 03:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.6
2026-04-18 01:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.6
2026-04-18 01:00:00,L'humidité du sol,L'humidité du sol,mV,548.6
2026-04-18 01:00:00,Température,Température,°C,17.9
2026-04-17 23:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.6
2026-04-17 23:00:00,L'humidité du sol,L'humidité du sol,mV,548.8
2026-04-17 23:00:00,Température,Température,°C,17.9
2026-04-17 21:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.6
2026-04-17 21:00:00,L'humidité du sol,L'humidité du sol,mV,548.7
2026-04-17 21:00:00,Température,Température,°C,17.9
2026-04-17 19:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.6
2026-04-17 19:00:00,L'humidité du sol,L'humidité du sol,mV,548.7
2026-04-17 19:00:00,Température,Température,°C,17.8
2026-04-17 17:00:00,Température,Température,°C,17.5
2026-04-17 17:00:00,L'humidité du sol,L'humidité du sol,mV,548.8
2026-04-17 17:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.6
2026-04-15 06:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.6
