date,nom_ar,nom_fr,unite,valeur
2025-12-18 22:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,31.1
2025-12-18 22:00:00,Température,Température,°C,11.4
2025-12-18 22:00:00,L'humidité du sol,L'humidité du sol,mV,907.9
2025-12-18 21:00:00,Température,Température,°C,11.4
2025-12-18 21:00:00,L'humidité du sol,L'humidité du sol,mV,907.9
2025-12-18 21:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,31.1
2025-12-18 20:00:00,L'humidité du sol,L'humidité du sol,mV,908.0
2025-12-18 20:00:00,Température,Température,°C,11.4
2025-12-18 20:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,31.1
2025-12-18 19:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,31.1
2025-12-18 19:00:00,Température,Température,°C,11.4
2025-12-18 19:00:00,L'humidité du sol,L'humidité du sol,mV,908.2
2025-12-18 18:00:00,L'humidité du sol,L'humidité du sol,mV,908.2
2025-12-18 18:00:00,Température,Température,°C,11.3
2025-12-18 18:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,31.1
2025-12-18 17:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,31.2
2025-12-18 17:00:00,Température,Température,°C,11.3
2025-12-18 17:00:00,L'humidité du sol,L'humidité du sol,mV,908.3
2025-12-18 16:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,31.1
2025-12-18 16:00:00,Température,Température,°C,11.3
2025-12-18 16:00:00,L'humidité du sol,L'humidité du sol,mV,908.2
2025-12-18 15:00:00,Température,Température,°C,11.3
2025-12-18 15:00:00,L'humidité du sol,L'humidité du sol,mV,908.2
2025-12-18 15:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,31.2
2025-12-18 14:00:00,L'humidité du sol,L'humidité du sol,mV,908.6
2025-12-18 14:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,31.2
2025-12-18 14:00:00,Température,Température,°C,11.3
2025-12-18 13:00:00,L'humidité du sol,L'humidité du sol,mV,908.7
2025-12-18 13:00:00,Température,Température,°C,11.3
2025-12-18 13:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,31.2
2025-12-18 12:00:00,L'humidité du sol,L'humidité du sol,mV,908.8
2025-12-18 12:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,31.2
2025-12-18 12:00:00,Température,Température,°C,11.3
2025-12-18 10:00:00,L'humidité du sol,L'humidité du sol,mV,909.0
2025-12-18 10:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,31.2
2025-12-18 10:00:00,Température,Température,°C,11.3
2025-12-18 09:00:00,Température,Température,°C,11.3
2025-12-18 09:00:00,L'humidité du sol,L'humidité du sol,mV,908.7
2025-12-18 09:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,31.2
2025-12-18 08:00:00,Température,Température,°C,11.3
2025-12-18 08:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,31.3
2025-12-18 08:00:00,L'humidité du sol,L'humidité du sol,mV,909.0
2025-12-18 06:00:00,L'humidité du sol,L'humidité du sol,mV,909.2
2025-12-18 06:00:00,Température,Température,°C,11.3
2025-12-18 06:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,31.3
2025-12-18 04:00:00,Température,Température,°C,11.3
2025-12-18 04:00:00,L'humidité du sol,L'humidité du sol,mV,909.2
2025-12-18 04:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,31.3
2025-12-18 01:00:00,L'humidité du sol,L'humidité du sol,mV,909.7
2025-12-18 01:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,31.3
2025-12-18 01:00:00,Température,Température,°C,11.3
2025-12-18 00:00:00,L'humidité du sol,L'humidité du sol,mV,909.6
2025-12-18 00:00:00,Température,Température,°C,11.3
2025-12-18 00:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,31.3
