gouvernorat,olivier,palmier_dattier,arboriculture,maraichage,grandes_cultures,cultures_fourrageres,cactus,jachere,pam,foret,parcour,feuille
Ariana,3,0,2,1,0,0,0,29,1,0,0,Feuil1
Beja,1592,0,71,17,15,0,5,57,0,837,3,Feuil1
Ben Arous,477,0,61,2,0,0,22,10,9,0,0,Feuil1
Bizerte,2829,0,13,12,277,40,1,59,0,2464,0,Feuil1
Gabes,114,20,104,19,0,8,99,87,0,0,0,Feuil1
Gafsa,5513,218,70,0,0,0,0,12,0,0,7,Feuil1
Jendouba,3988,0,1803,2,0,0,0,7,33,5131,0,Feuil1
Kairouan,41242,0,9891,72,21,0,1000,823,362,7843,0,Feuil1
kef,2784,0,4,1,126,0,6,40,0,5116,0,Feuil1
kasserine,21703,0,0,0,35,0,2633,37,18,9089,1,Feuil1
kebili,1,1747,1,2,7,0,0,9,1,0,0,Feuil1
Mahdia,66895,0,599,6,0,0,1,161,0,0,0,Feuil1
Manouba,641,0,65,20,43,0,175,17,0,5000,0,Feuil1
Mednine,3608,0,0,0,0,0,0,2,0,0,0,Feuil1
Monastir,11773,0,42,10,1,0,22,47,1,3,0,Feuil1
Nabeul,1497,0,205,2,165,0,0,62,1,54,0,Feuil1
Sfax,56018,0,607,1,0,0,0,447,1,0,2201,Feuil1
Sidi Bouzid,10491,0,120,7,0,0,60,178,320,0,0,Feuil1
Siliana,6272,0,187,6,0,0,0,0,5,3468,0,Feuil1
Sousse,8093,0,44,15,750,0,71,29,22,903,0,Feuil1
Tozeur,3,1051,10,0,0,0,0,5,0,0,0,Feuil1
Tunis,0,0,0,0,0,0,0,0,0,0,0,Feuil1
Zaghouan,5518,0,183,17,22,0,0,61,17,6106,0,Feuil1
tataouine,518,10,38,0,0,0,0,65,0,0,0,Feuil1
