annee,cultures,superficie_certifiee_bio_ha,feuille
2010,Oliviers,119400.0,Feuil1
2010,Palmiers_dattiers,1020.0,Feuil1
2010,Cultures_maraicheres,310.0,Feuil1
2010,Arbres_fruitiers,6550.0,Feuil1
2010,Cereales,1400.0,Feuil1
2010,PAM_cultivees,850.0,Feuil1
2010,Cactus_(figue_de_barbarie+Aloevera),700.0,Feuil1
2010,Foret_et_parcours,273600.0,Feuil1
2010,Fourrages,0.0,Feuil1
2010,Jachere,0.0,Feuil1
2011,Oliviers,111750.0,Feuil1
2011,Palmiers_dattiers,1100.0,Feuil1
2011,Cultures_maraicheres,170.0,Feuil1
2011,Arbres_fruitiers,4300.0,Feuil1
2011,Cereales,1500.0,Feuil1
2011,PAM_cultivees,1000.0,Feuil1
2011,Cactus_(figue_de_barbarie+Aloevera),10500.0,Feuil1
2011,Foret_et_parcours,115040.0,Feuil1
2011,Fourrages,0.0,Feuil1
2011,Jachere,0.0,Feuil1
2012,Oliviers,100500.0,Feuil1
2012,Palmiers_dattiers,1030.0,Feuil1
2012,Cultures_maraicheres,90.0,Feuil1
2012,Arbres_fruitiers,920.0,Feuil1
2012,Cereales,1210.0,Feuil1
2012,PAM_cultivees,820.0,Feuil1
2012,Cactus_(figue_de_barbarie+Aloevera),2680.0,Feuil1
2012,Foret_et_parcours,87660.0,Feuil1
2012,Fourrages,0.0,Feuil1
2012,Jachere,0.0,Feuil1
2013,Oliviers,123694.0,Feuil1
2013,Palmiers_dattiers,912.0,Feuil1
2013,Cultures_maraicheres,76.0,Feuil1
2013,Arbres_fruitiers,4450.0,Feuil1
2013,Cereales,414.0,Feuil1
2013,PAM_cultivees,27046.0,Feuil1
2013,Cactus_(figue_de_barbarie+Aloevera),5731.0,Feuil1
2013,Foret_et_parcours,59427.0,Feuil1
2013,Fourrages,0.0,Feuil1
2013,Jachere,0.0,Feuil1
2014,Oliviers,131525.0,Feuil1
2014,Palmiers_dattiers,1331.0,Feuil1
2014,Cultures_maraicheres,128.0,Feuil1
2014,Arbres_fruitiers,2900.0,Feuil1
