annee,1993,1994,1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,feuille
Tunis,800,600,800,620,540,480,470,520,540,470,510,540,550,550,560,560,700,1200,1080,1640,1420,1300,1380,1520,Feuil2
Ariana,6180,4200,4490,9840,10160,10980,2900,1660,1470,1710,1470,1310,2010,2010,3290,3210,3380,3030,3580,3200,2150,2000,2250,2250,Feuil2
Manouba,0,0,0,0,0,0,6650,8190,6000,7000,6400,5500,4860,4860,6720,6500,6150,5510,5400,5550,5500,5000,6000,6740,Feuil2
Ben Arous,13070,15500,10710,12010,11340,11340,11340,11370,11340,11340,11880,11500,11430,11430,8610,8450,8010,8220,7400,5250,5550,7600,6370,6870,Feuil2
Nabeul,84000,44000,44000,49770,51340,55580,56790,57000,57300,47500,47720,54000,55180,55180,39850,35000,30600,30010,30520,36620,36680,35200,35000,35000,Feuil2
Bizerte,57300,78500,84240,70820,68640,68030,66840,64280,54600,54390,59040,64410,61860,61860,47490,45270,43120,39010,35880,35050,26496,27800,27980,28790,Feuil2
Béja,35500,42500,32880,28580,36100,51890,53160,51160,51440,54350,54860,56140,57100,57100,59260,58350,54930,37590,37140,39350,40680,37300,33840,30750,Feuil2
Jendouba,81670,81500,50000,45010,47240,48840,52050,53550,52130,52310,55530,54980,59870,59870,64500,63000,63250,63360,57780,58410,58820,64420,57030,56370,Feuil2
Kef,83000,54100,42480,43440,43940,44650,45960,42290,34150,36450,38630,38500,40200,40200,37850,39730,34900,34480,24360,24900,24453,44230,40520,41330,Feuil2
Siliana,35450,80000,42230,50530,66090,70030,69630,66680,65570,75680,83180,86740,96350,96350,121000,128330,137000,129000,139000,127000,84800,80000,47000,50000,Feuil2
Zaghouan,43950,27900,21630,24450,32310,35770,32980,34120,30970,31660,31710,42000,45740,45740,44010,43850,47190,45490,43070,43520,43435,43540,43740,43820,Feuil2
Sousse,7670,7300,8900,8900,8880,8490,8250,7850,9400,9900,10400,11800,13000,13000,14200,11650,12530,15290,17710,19910,20628,25120,27050,28800,Feuil2
Monastir,19410,2500,8730,4150,3090,3010,3030,3160,2690,2720,2570,2730,2840,2840,4380,3830,3760,3850,4070,4590,3856,3330,6290,7220,Feuil2
Mahdia,890,32400,25400,20100,10000,9430,9320,10100,10000,10000,10200,10400,10950,10950,11500,11600,11800,12110,13100,13400,14150,17300,17420,17070,Feuil2
Sfax,72280,50700,47100,58400,69860,65940,56500,51400,49900,51250,45870,59380,60700,60700,55100,57100,48000,47500,41000,35000,35360,35000,35380,35730,Feuil2
Kairouan,77030,67800,52120,50780,49480,44720,42210,49810,42110,43840,44700,64100,62760,62760,55000,56160,55000,54720,63700,63790,64110,64200,64650,64800,Feuil2
Kasserine,100710,65400,73990,76010,70350,90570,94640,95490,100330,116640,119150,120500,126930,126930,120370,122130,119300,113780,104400,97700,97950,93700,95850,92700,Feuil2
Sidi Bouzid,45100,45000,158630,108000,107790,105540,103300,97800,98300,98800,98400,104960,111510,111510,110900,112750,112650,110000,103000,102500,101200,100500,90000,83000,Feuil2
Gafsa,54620,54500,65590,56850,56860,60300,60300,60480,60480,61470,71510,69510,67830,67830,63500,66530,66530,75620,87030,87640,79250,67600,80250,79050,Feuil2
Gabès,203820,168100,176270,122320,119560,125910,130000,138200,115000,135350,139350,140640,143820,143820,121380,108940,109050,105870,90180,60110,80150,81680,81890,90000,Feuil2
Medenine,174120,174000,177900,190730,193230,188390,192990,194050,198010,197130,199560,203770,205580,205580,200000,98100,112820,143330,128310,132650,98100,109780,117460,117460,Feuil2
Tozeur,32100,30000,32200,30500,30000,30000,30500,31000,31500,32000,32500,30500,31000,31000,25000,23000,21000,21000,22200,24550,34000,30100,45950,46100,Feuil2
Kébili,89500,55000,57900,60000,114630,128930,128930,128930,100000,80000,80000,80000,83350,83350,81460,78210,78000,76330,76500,84400,82100,94000,92000,100000,Feuil2
Tatouine,98610,169800,250000,110510,113160,188770,191350,190260,195770,199590,181500,183500,195230,195230,158710,113690,102410,96160,138050,141450,121450,128770,129320,131720,Feuil2
