gouvernorats,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,feuille
Tunis,6.6,3.9,4.3,3.9,5.6,0.6,0.8,0.6,0.9,1.1,0.7,1.0,0.8,0.6,0.8,0.4,1.4,1.0,0.98,0.95,1.05,1.02,0.96,1.0,0.73,0.67,0.63,0.7,0.64,0.74,0.5,0.42,0.62,0.64,0.68,0.69,0.52,0.591,0.55,0.54,0.65,Feuil1
Ariana,,,,,,18.6,21.2,23.3,20.7,21.5,25.5,30.6,29.2,33.7,37.0,37.6,34.8,30.67,33.89,31.46,28.83,3.55,4.08,3.95,4.95,4.1,4.22,3.7,2.19,3.5,3.22,3.8,4.07,2.98,3.9,3.51,4.32,4.29,4.5,3.63,4.77,Feuil1
Manouba,,,,,,,,,,,,,,,,,,,,,,23.45,21.21,26.25,23.4,17.29,22.62,23.2,18.0,18.26,18.0,17.6,17.2,18.4,19.2,19.0,18.5,16.5,16.3,17.0,17.69,Feuil1
Ben Arous,,,,,,2.2,5.6,5.9,6.9,6.9,7.8,6.5,8.2,5.7,6.7,6.0,7.4,6.5,6.3,6.48,6.58,4.4,3.63,5.0,4.69,4.55,4.95,5.0,5.4,4.83,4.7,4.14,4.16,5.55,5.8,4.48,4.395,3.26,3.3,3.3,3.53,Feuil1
Nabeul,12.9,12.5,9.9,14.4,12.7,11.6,12.2,10.5,9.4,14.6,14.1,13.7,17.3,20.0,17.8,18.8,16.8,19.53,19.58,19.0,18.1,18.1,17.0,17.45,17.6,17.8,17.5,17.0,17.0,19.29,18.7,18.0,18.5,18.0,19.29,18.86,20.08,20.66,21.22,21.025,22.39,Feuil1
Bizerte,50.0,59.2,53.2,48.5,69.0,57.0,61.5,56.0,61.5,64.5,60.4,65.0,59.0,64.0,70.3,72.0,67.6,66.69,61.22,73.56,65.57,60.8,74.88,64.18,69.12,70.5,70.52,70.8,70.13,74.78,67.93,59.93,68.45,73.64,71.97,66.32,73.09,65.225,72.703,74.3,75.7,Feuil1
Béja,66.5,82.7,68.6,77.5,80.8,71.1,84.4,77.9,81.6,79.0,80.1,80.9,82.1,81.0,85.1,86.7,92.6,87.1,89.2,91.68,91.73,92.5,88.71,95.4,92.4,94.73,94.83,92.74,90.84,97.97,101.0,99.13,96.89,94.48,90.73,98.14,94.11,96.63,100.87,100.5,102.5,Feuil1
Jendouba,51.9,60.3,56.0,49.0,50.0,50.0,50.0,47.8,48.0,49.0,54.1,55.7,60.0,63.6,64.0,60.8,65.8,62.13,63.56,62.44,61.12,60.55,55.23,59.33,60.7,61.0,61.9,62.29,64.82,66.4,65.76,67.66,62.9,63.8,61.36,62.51,63.57,65.24,66.598,69.14,68.35,Feuil1
Kef,161.0,128.3,155.8,150.1,128.6,129.2,126.3,139.8,100.0,110.0,106.5,105.0,114.6,106.1,108.1,120.8,126.3,116.26,121.58,122.09,122.8,112.78,110.01,104.91,107.53,110.5,110.78,107.76,86.5,71.8,72.17,71.25,80.21,61.75,84.44,54.46,51.8,50.635,50.54,47.31,49.0,Feuil1
Siliana,100.7,109.9,96.3,96.6,92.8,86.9,97.5,91.9,87.8,98.0,93.7,98.0,85.5,92.0,88.0,93.1,103.0,94.28,98.63,96.3,87.15,85.56,78.18,99.99,85.5,89.45,101.39,84.9,80.8,87.1,89.64,88.4,84.0,83.51,82.5,78.6,77.9,76.86,76.28,78.2,78.5,Feuil1
