annee,gouvernorat,productionen1000quintaux,feuille
1990.0,Tunis,1.0,Feuil2
1992.0,Tunis,2.0,Feuil2
1996.0,Tunis,0.1,Feuil2
2000.0,Tunis,0.24,Feuil2
2001.0,Tunis,0.1,Feuil2
2003.0,Tunis,0.1,Feuil2
2004.0,Tunis,0.18,Feuil2
2011.0,Tunis,0.63,Feuil2
2012.0,Tunis,0.46,Feuil2
,Gouvernorat,,Feuil2
1987.0,Ariana,4.7,Feuil2
1988.0,Ariana,3.9,Feuil2
1989.0,Ariana,9.8,Feuil2
1990.0,Ariana,32.4,Feuil2
1991.0,Ariana,54.0,Feuil2
1992.0,Ariana,35.0,Feuil2
1993.0,Ariana,17.0,Feuil2
1994.0,Ariana,3.0,Feuil2
1995.0,Ariana,1.0,Feuil2
1996.0,Ariana,2.5,Feuil2
1997.0,Ariana,12.0,Feuil2
1998.0,Ariana,1.75,Feuil2
1999.0,Ariana,7.75,Feuil2
2000.0,Ariana,3.77,Feuil2
2002.0,Ariana,0.72,Feuil2
2007.0,Ariana,2.28,Feuil2
2008.0,Ariana,4.2,Feuil2
2009.0,Ariana,1.5,Feuil2
2010.0,Ariana,11.5,Feuil2
2011.0,Ariana,6.0,Feuil2
2012.0,Ariana,3.48,Feuil2
2013.0,Ariana,14.28,Feuil2
2014.0,Ariana,5.4,Feuil2
2015.0,Ariana,6.05,Feuil2
2016.0,Ariana,4.86,Feuil2
2017.0,Ariana,7.5,Feuil2
2018.0,Ariana,4.46,Feuil2
2019.0,Ariana,9.83,Feuil2
2001.0,Manouba,1.0,Feuil2
2006.0,Manouba,1.0,Feuil2
2007.0,Manouba,1.0,Feuil2
2008.0,Manouba,1.35,Feuil2
2009.0,Manouba,6.9,Feuil2
2010.0,Manouba,1.6,Feuil2
2011.0,Manouba,6.56,Feuil2
2012.0,Manouba,10.0,Feuil2
2013.0,Manouba,6.0,Feuil2
2014.0,Manouba,5.2,Feuil2
2015.0,Manouba,4.22,Feuil2
2016.0,Manouba,2.1,Feuil2
2017.0,Manouba,4.5,Feuil2
2018.0,Manouba,5.0,Feuil2
2019.0,Manouba,6.82,Feuil2
1987.0,Ben Arous,1.9,Feuil2
1991.0,Ben Arous,3.0,Feuil2
1992.0,Ben Arous,5.0,Feuil2
1993.0,Ben Arous,5.0,Feuil2
1999.0,Ben Arous,0.2,Feuil2
2000.0,Ben Arous,0.9,Feuil2
2008.0,Ben Arous,1.12,Feuil2
2009.0,Ben Arous,6.9,Feuil2
2010.0,Ben Arous,4.47,Feuil2
2011.0,Ben Arous,3.6,Feuil2
2012.0,Ben Arous,3.54,Feuil2
2013.0,Ben Arous,5.38,Feuil2
2014.0,Ben Arous,10.8,Feuil2
2015.0,Ben Arous,3.8,Feuil2
2016.0,Ben Arous,10.9,Feuil2
2017.0,Ben Arous,14.2,Feuil2
2018.0,Ben Arous,2.9,Feuil2
2019.0,Ben Arous,5.03,Feuil2
1991.0,Nabeul,22.0,Feuil2
1992.0,Nabeul,15.0,Feuil2
1993.0,Nabeul,22.0,Feuil2
1994.0,Nabeul,19.0,Feuil2
1995.0,Nabeul,16.2,Feuil2
1996.0,Nabeul,16.8,Feuil2
1997.0,Nabeul,12.0,Feuil2
1998.0,Nabeul,15.2,Feuil2
