annee,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,feuille
Tunis,23.5,31.3,27.6,14.5,9,1.9,1.2,3.4,,0.8,5.4,6.0,7.0,7.0,2,,12.5,6.46,11.25,15.74,4.37,4.25,,13.42,12.66,12.48,9.09,6.75,7.0,2.3,2.91,8.85,6.15,8.47,7.12,6.09,2.4,4.915,2.18,8.26,3.36,Feuil1
Ariana,,,,,,145.5,38.2,110.5,10.2,58.5,130.3,193.0,77.0,97.0,20,51.8,185.2,140.62,155.87,168.84,75.05,31.2,13.16,19.59,39.58,62.18,40.3,46.1,36.14,67.28,44.36,50.37,50.86,45.25,55.05,43.2,21.42,34.0,25.42,14.94,2.608,Feuil1
Manouba,,,,,,,,,,,,,,,,,,,,,,145.4,29.48,98.46,179.7,135.6,114.0,159.4,185.81,243.55,154.35,200.63,206.2,135.2,125.05,102.9,106.83,163.46,167.2,181.2,152.9,Feuil1
Ben Arous,,,,,,33.0,10.9,31.8,,2.0,79.2,20.0,58.0,56.0,16,4,63.7,25.56,49.5,45.47,19.84,25.7,1.67,37.07,39.6,50.95,19.98,24.24,22.97,45.94,14.33,62.46,64.07,39.6,30.89,24.84,11.0,23.1,5.17,32.58,27.4,Feuil1
Nabeul,48.1,25.7,27.7,26,35.2,37.7,7.6,29.4,1.6,8.9,17.4,40.0,31.0,60.0,24,27.3,35.7,28.1,47,47.59,38.5,23,13.44,55.0,44.0,43.0,41.39,40.43,46.0,48.66,35,46.5,58.0,43.6,47.37,22.82,24.3,32.2,25.84,49.475,40.64,Feuil1
Bizerte,267.3,229.7,184,111.6,267.4,408.0,233.3,219.4,26.4,152.0,229.5,255.0,253.0,289.0,76,113.2,119.1,294.69,288.77,359.78,199.4,225.1,153.7,269.79,271.12,316.49,231.15,260.55,319.89,307.93,473.51,432.99,327.62,333.91,476.9,207.06,142.83,316.78,279.2,196.5,127.15,Feuil1
Béja,292.9,370.8,390.1,307.2,399,782.6,209.3,921.0,259.6,283.8,515.1,847.0,607.0,670.0,153,120,576.5,325.53,646.1,654.82,292.79,683.4,123.49,771.22,1012.35,838.48,572.0,697.83,531.15,605.95,291.44,599.65,653.48,535.1,686.44,407.05,377.87,362.67,318.49,325.0,130.0,Feuil1
Jendouba,82.4,180.9,175,147,174.5,285.0,172.5,420.0,156,97.8,48.0,291.0,135.0,128.0,56,54.8,94.8,116.66,165.72,171.92,78.71,99.8,44.89,106.99,77.81,108.68,95.09,131.4,77.59,177.48,47.06,118.81,179.0,80.82,59.78,75.48,98.57,83.02,76.13,43.133,14.869,Feuil1
Kef,72.9,56.5,79,15.1,88.5,264.4,70.8,226.8,9,44.5,200.3,357.0,244.0,334.0,90,111.8,501.1,180.37,389.67,286.85,177.55,126.3,41.44,438.76,439.75,371.6,292.5,307.09,119.55,377.56,162.85,259.8,407.65,131.71,330.83,220.22,147.27,57.61,101.34,218.45,97.44,Feuil1
Siliana,293,378.5,229,168.7,161.2,457.7,126.6,424.5,44.4,60.6,367.9,658.0,536.0,560.0,109,36,569.5,253.3,447.45,321.35,229.7,231.2,40.02,738.15,486.33,660.88,434.1,508.84,338.1,697.0,133.82,602.3,490.0,236.2,507.0,206.97,146.76,166.88,58.21,370.49,107.68,Feuil1
Zaghouan,177.5,256.8,438.9,166.9,82.3,273.1,54.2,317.1,1.6,11.5,150.3,254.0,266.0,305.0,56,16.7,426.1,195.75,352.37,334.68,160.94,196.8,7.01,625.06,485.79,644.99,314.65,334.36,155.12,342.67,121.36,348.5,281.44,180.73,373.15,204.97,44.29,254.8,61.47,421.647,131.988,Feuil1
Sousse,0.6,1.6,,4.3,,11.8,,16.8,1.8,3.3,17.2,23.0,42.0,23.0,3,,17.4,0.87,7,12.0,3.0,0.048,,12.08,15.68,24.05,4.0,44.37,4.16,23.25,7.01,15.0,35.19,1.56,19.86,,0.1,3.07,0.52,4.915,1.935,Feuil1
Monastir,,1.6,1,3.1,0.8,1.8,0.9,1.0,,1.6,1.2,3.0,3.0,1.0,,,0.4,,0.54,0.02,,,0.95,,,1.04,,,,,,,,,,,,0.0,0.0,0.064,0.056,Feuil1
Mahdia,,4.6,3,5.4,8.8,27.0,0.7,13.3,,15.0,29.7,13.0,22.0,13.0,12,,33.0,0.82,2.9,1.22,7.24,,,12.6,18.85,12.9,10.01,8.63,4.37,15.82,1.12,7.21,5.7,,13.41,2.19,1.8,14.25,0.06,3.7,0.5,Feuil1
Sfax,2.5,1.8,1,11.5,7.5,74.0,0.9,10.6,,33.2,18.6,19.0,7.0,8.0,6,0.8,48.7,,,4.6,2.0,0.13,0.46,5.45,2.39,2.3,13.36,2.22,0.65,2.33,,4.37,4.12,,1.97,0.02,,0.84,0.0,0.12,0.54,Feuil1
Kairouan,14.6,38.2,78.3,83.9,25.7,124.2,27.7,154.5,15.9,70.1,287.7,370.0,213.0,150.0,35,42,204.7,46.13,70.02,73.82,63.45,37,41.3,125.17,86.65,76.0,16.88,82.6,29.27,38.38,22.8,56.74,63.83,35.52,85.56,24.26,20.19,11.7,4.525,7.167,2.0,Feuil1
Kasserine,8.9,8.9,,2,1.5,4.6,,4.2,0.6,1.2,,,19.0,15.0,,,8.4,,,,,,4.6,2.4,0.8,,2.7,,,,,1.08,,,0.3,,0.4,1.28,0.0,0.0,0.0,Feuil1
Sidi Bouzid,2.9,0.9,,16.4,9,109.8,5.2,33.9,11.4,8.5,98.0,138.0,83.0,50.0,4,1.8,109.9,2.17,,15.86,2.47,1.4,1.44,28.24,3.0,,9.93,,,,,5.6,0.45,,,,,0.0,0.0,0.0,0.0,Feuil1
Gafsa,,,,,,20.3,,4.8,,3.0,35.1,109.0,5.0,12.0,,,61.8,,,3.27,0.42,,,10.95,23.5,,1.24,0.6,,0.38,,19.37,1.16,,,,,0.0,0.0,0.0,0.0,Feuil1
Gabès,,2.6,,4.8,,49.4,,4.5,,13.6,15.0,30.0,2.0,12.0,2,4.2,52.3,,,13.0,1.0,,,0.32,18.0,,18.0,19.52,1.61,4.4,,2.06,1.98,,0.03,,0.065,3.61,3.8,0.026,0.5,Feuil1
Medenine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,0.0,0.0,0.0,0.0,Feuil1
Tozeur,,,,,,,,,,,,,,,,,,,,0.63,,,,3.6,1.0,0.1,,,,0.15,,,,,,,,0.0,0.0,0.0,0.0,Feuil1
Kébili,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,Feuil1
Tatouine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,Feuil1
