annee,1985,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,feuille
Tunis,,,,,,0.1,0.1,,,,*,,,,0.02,0.01,0.01,,0.01,0.02,,,,,,0.03,0.02,,,0.01,,0.001,0.01,0.01,Feuil1
Ariana,,0.2,1.8,0.7,1.2,2.5,1.5,1.2,0.5,0.2,0.1,0.85,0.07,0.31,0.29,,0.1,,,0.03,0.01,0.12,0.21,0.06,0.5,0.3,0.2,0.51,0.3,0.36,0.38,0.394,0.245,0.38,Feuil1
Manouba,,,,,,,,,,,,,,,,0.05,,,,0.1,0.05,0.05,0.09,0.23,0.08,0.22,0.4,0.3,0.3,0.25,0.3,0.25,0.2,0.3,Feuil1
Ben Arous,,0.1,,,,0.1,0.2,0.2,,,,,,0.01,0.09,,0.03,,0.01,,0.01,0.03,0.08,0.24,0.24,0.12,0.17,0.25,0.34,0.23,0.5,0.55,0.3,0.2,Feuil1
Nabeul,,,0.1,,,1.0,0.8,1.1,1.4,0.85,0.8,0.8,0.8,0.5,0.6,0.6,0.3,0.4,1,0.8,0.9,1.05,1.7,2.0,2.5,3.0,2.9,3.0,2.48,2.41,2.035,1.94,1.8,1.81,Feuil1
Bizerte,3,4.7,2.4,5.2,6.9,5.3,5.0,3.5,3.1,1.45,2.1,1.11,1.37,1.68,0.45,0.5,0.68,1.99,3.53,1.2,1.45,2.22,3.2,4.36,4.5,2.0,6.38,9.28,8.28,16.46,12.0,4.224,3.57,5.0,Feuil1
Béja,2,5,5.1,5,5,4.8,4.8,3,2,2.4,1.5,1.63,0.24,0.45,0.3,0.25,0.12,0.25,0.3,0.3,0.25,0.9,1.2,1.8,1.7,1.9,2.4,2.3,2.2,3.05,3.05,3.065,2.32,3.1,Feuil1
Jendouba,,1,0.8,2,0.3,0.3,0.5,0.4,0.4,0.35,0.4,0.34,0.13,0.09,0.11,0.2,0.12,0.15,0.12,,0.06,0.05,0.1,0.6,0.1,0.65,0.5,0.13,0.14,0.26,0.315,0.325,0.32,0.29,Feuil1
Kef,,0.4,0.2,,,1.0,0.4,,,0.15,,0.01,0.01,0.22,0.02,0.03,0.02,0.07,0.07,0.07,0.07,0.21,0.07,0.15,0.05,0.25,0.15,0.45,0.11,0.95,0.77,0.75,0.735,0.78,Feuil1
Siliana,,1.6,0.7,0.7,1.2,1.0,2.0,2,1,0.2,0.9,0.5,0.69,0.04,0.04,,0.02,0.04,0.03,0.07,0.17,0.18,0.13,0.8,0.6,1.0,1.0,0.63,0.7,,1.3,0.0,0.0,1.0,Feuil1
Zaghouan,,0.7,0.5,0.8,1,0.4,0.5,0.1,0.2,0.2,0.3,0.2,,0.36,0.15,0.45,0.19,0.21,,0.06,0.21,0.49,0.58,0.76,0.76,1.0,,,0.33,0.5,0.575,0.0,0.45,0.47,Feuil1
Gafsa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.05,0.0,0.0,,Feuil1
