السنة,البطاطا,الطماطم,القنارية,الفلفل,البصل,دلاع_بطيخ,خضر_اخرى,المجموع,feuille
2010,370,1296,14,304,498,362,360,3204,Feuil1
2011,360,1284,18,268,470,350,360,3110,Feuil1
2012,350,1375,17,270,508,355,363,3238,Feuil1
2013,385,1013,19,384,490,389,387,3067,Feuil1
2014,390,1250,19,380,510,390,390,3329,Feuil1
2015,400,1350,24,380,520,375,300,3349,Feuil1
2016,440,1330,27,455,543,478,420,3693,Feuil1
2017,420,1219,32,463,571,466,450,3621,Feuil1
2018,465,1187,21,459,529,487,775,3923,Feuil1
2019,445,1468,21,476,419,476,875,4180,Feuil1
2020,452,1474,31,449,405,481,761,4053,Feuil1
2021,433,1461,30,459,346,531,624,3884,Feuil1
