annee,production_national,feuille
1985,125.0,Feuil2
1986,130.0,Feuil2
1987,325.4,Feuil2
1988,69.69999999999999,Feuil2
1989,154.6,Feuil2
1990,336.6,Feuil2
1991,441.0,Feuil2
1992,410.0,Feuil2
1993,235.0,Feuil2
1994,67.0,Feuil2
1995,86.9,Feuil2
1996,149.2,Feuil2
1997,85.88,Feuil2
1998,85.68999999999998,Feuil2
1999,73.55,Feuil2
2000,34.81,Feuil2
2001,29.75,Feuil2
2002,9.52,Feuil2
2003,64.8,Feuil2
2004,76.38,Feuil2
2005,50.0,Feuil2
2006,55.669999999999995,Feuil2
2007,105.09,Feuil2
2008,151.92999999999998,Feuil2
2009,249.70999999999998,Feuil2
2010,208.04999999999998,Feuil2
2011,240.6,Feuil2
2012,261.03,Feuil2
2013,307.32000000000005,Feuil2
2014,315.86000000000007,Feuil2
2015,310.98,Feuil2
2016,335.87499999999994,Feuil2
