annee,culture,prix_a_la_production_d_t,feuille
2004,Pomme_de_terre,195.0,Px_Production
2004,Tomate,145.0,Px_Production
2004,Artichaut,514.0,Px_Production
2004,Piment,410.0,Px_Production
2004,Oignon,214.0,Px_Production
2004,Pasteque _Melon,172.0,Px_Production
2004,Autres legumes,200.0,Px_Production
2005,Pomme_de_terre,278.0,Px_Production
2005,Tomate,170.0,Px_Production
2005,Artichaut,567.0,Px_Production
2005,Piment,437.0,Px_Production
2005,Oignon,232.0,Px_Production
2005,Pasteque _Melon,239.0,Px_Production
2005,Autres legumes,294.0,Px_Production
2006,Pomme_de_terre,275.0,Px_Production
2006,Tomate,162.0,Px_Production
2006,Artichaut,489.0,Px_Production
2006,Piment,482.0,Px_Production
2006,Oignon,172.0,Px_Production
2006,Pasteque _Melon,245.0,Px_Production
2006,Autres legumes,253.0,Px_Production
2007,Pomme_de_terre,317.0,Px_Production
2007,Tomate,153.0,Px_Production
2007,Artichaut,579.0,Px_Production
2007,Piment,444.0,Px_Production
2007,Oignon,254.0,Px_Production
2007,Pasteque _Melon,253.0,Px_Production
2007,Autres legumes,277.0,Px_Production
2008,Pomme_de_terre,337.0,Px_Production
2008,Tomate,162.0,Px_Production
2008,Artichaut,584.0,Px_Production
2008,Piment,536.0,Px_Production
2008,Oignon,238.0,Px_Production
2008,Pasteque _Melon,245.0,Px_Production
2008,Autres legumes,306.0,Px_Production
2009,Pomme_de_terre,385.0,Px_Production
2009,Tomate,154.0,Px_Production
2009,Artichaut,649.0,Px_Production
2009,Piment,582.0,Px_Production
2009,Oignon,193.0,Px_Production
2009,Pasteque _Melon,315.0,Px_Production
2009,Autres legumes,304.0,Px_Production
2010,Pomme_de_terre,328.0,Px_Production
2010,Tomate,158.0,Px_Production
2010,Artichaut,692.0,Px_Production
2010,Piment,495.0,Px_Production
2010,Oignon,229.0,Px_Production
2010,Pasteque _Melon,320.0,Px_Production
2010,Autres legumes,314.0,Px_Production
2011,Pomme_de_terre,342.0,Px_Production
2011,Tomate,166.0,Px_Production
2011,Artichaut,692.0,Px_Production
2011,Piment,661.0,Px_Production
2011,Oignon,299.0,Px_Production
2011,Pasteque _Melon,336.0,Px_Production
2011,Autres legumes,354.0,Px_Production
2012,Pomme_de_terre,440.0,Px_Production
2012,Tomate,224.0,Px_Production
2012,Artichaut,795.0,Px_Production
2012,Piment,683.0,Px_Production
2012,Oignon,340.0,Px_Production
2012,Pasteque _Melon,315.0,Px_Production
2012,Autres legumes,419.0,Px_Production
2013,Pomme_de_terre,418.0,Px_Production
2013,Tomate,223.0,Px_Production
2013,Artichaut,753.0,Px_Production
2013,Piment,766.0,Px_Production
2013,Oignon,292.0,Px_Production
2013,Pasteque _Melon,503.0,Px_Production
2013,Autres legumes,438.0,Px_Production
2014,Pomme_de_terre,450.0,Px_Production
2014,Tomate,250.0,Px_Production
2014,Artichaut,780.0,Px_Production
2014,Piment,770.0,Px_Production
2014,Oignon,300.0,Px_Production
2014,Pasteque _Melon,520.0,Px_Production
2014,Autres legumes,440.0,Px_Production
2015,Pomme_de_terre,470.0,Px_Production
2015,Tomate,270.0,Px_Production
2015,Artichaut,1253.0,Px_Production
2015,Piment,811.0,Px_Production
2015,Oignon,320.0,Px_Production
2015,Pasteque _Melon,530.0,Px_Production
2015,Autres legumes,495.0,Px_Production
2016,Pomme_de_terre,500.0,Px_Production
2016,Tomate,280.8,Px_Production
2016,Artichaut,1133.0,Px_Production
2016,Piment,1017.0,Px_Production
2016,Oignon,316.0,Px_Production
2016,Pasteque _Melon,482.0,Px_Production
2016,Autres legumes,506.0,Px_Production
2017,Pomme_de_terre,616.0,Px_Production
2017,Tomate,295.0,Px_Production
2017,Artichaut,1571.0,Px_Production
2017,Piment,1571.0,Px_Production
2017,Oignon,591.0,Px_Production
2017,Pasteque _Melon,471.0,Px_Production
2017,Autres legumes,607.0,Px_Production
2018,Pomme_de_terre,673.0,Px_Production
2018,Tomate,425.0,Px_Production
2018,Artichaut,1500.0,Px_Production
2018,Piment,1180.0,Px_Production
2018,Oignon,555.0,Px_Production
2018,Pasteque _Melon,551.0,Px_Production
2018,Autres legumes,995.0,Px_Production
2019,Pomme_de_terre,685.0,Px_Production
2019,Tomate,321.0,Px_Production
2019,Artichaut,1579.0,Px_Production
2019,Piment,1058.0,Px_Production
2019,Oignon,455.0,Px_Production
2019,Pasteque _Melon,488.0,Px_Production
2019,Autres legumes,1169.0,Px_Production
2020,Pomme_de_terre,661.0,Px_Production
2020,Tomate,321.0,Px_Production
2020,Artichaut,1626.0,Px_Production
2020,Piment,1156.0,Px_Production
2020,Oignon,616.0,Px_Production
2020,Pasteque _Melon,604.0,Px_Production
2020,Autres legumes,339.0,Px_Production
2021,Pomme_de_terre,680.0,Px_Production
2021,Tomate,360.0,Px_Production
2021,Artichaut,1691.0,Px_Production
2021,Piment,1205.0,Px_Production
2021,Oignon,621.0,Px_Production
2021,Pasteque _Melon,593.0,Px_Production
2021,Autres legumes,1406.0,Px_Production
2022,Pomme_de_terre,920.0,Px_Production
2022,Tomate,432.0,Px_Production
2022,Artichaut,1755.0,Px_Production
2022,Piment,1376.0,Px_Production
2022,Oignon,634.0,Px_Production
2022,Pasteque _Melon,726.0,Px_Production
2022,Autres legumes,1743.0,Px_Production
2023,Pomme_de_terre,974.0,Px_Production
2023,Tomate,456.0,Px_Production
2023,Artichaut,1852.0,Px_Production
2023,Piment,1400.0,Px_Production
2023,Oignon,677.0,Px_Production
2023,Pasteque _Melon,900.0,Px_Production
2023,Autres legumes,1588.0,Px_Production
2024,Pomme_de_terre,994.0,Px_Production
2024,Tomate,465.0,Px_Production
2024,Artichaut,1889.0,Px_Production
2024,Piment,1428.0,Px_Production
2024,Oignon,690.0,Px_Production
2024,Pasteque _Melon,918.0,Px_Production
2024,Autres legumes,1620.0,Px_Production
2025,Pomme_de_terre,1050.0,Px_Production
2025,Tomate,474.0,Px_Production
2025,Artichaut,1926.0,Px_Production
2025,Piment,1672.0,Px_Production
2025,Oignon,664.0,Px_Production
2025,Pasteque _Melon,1072.0,Px_Production
2025,Autres legumes,1645.0,Px_Production
