annee,1993,1994,1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,feuille
Tunis,5860.0,4240.0,5790.0,5610.0,5280.0,4960.0,4830,4660,4940,4210,4450,4520,4800,4800,4630,5630,5550,5080,4590,4540,5290,5480,4690,5100,Feuil1
Ariana,43070.0,42490.0,36460.0,39950.0,43780.0,45260.0,20760,25010,21430,22000,22060,21770,24740,24740,21710,22370,21200,22940,24830,25050,24600,24900,20000,15000,Feuil1
Manouba,,,,,,,24400,25100,20000,17200,18880,19840,18980,18980,19400,18550,16900,15500,16020,15700,16480,17000,15300,14000,Feuil1
Ben Arous,15560.0,16240.0,14850.0,14880.0,15900.0,15900.0,15900,16300,15950,15950,13770,12790,11440,11440,9790,9520,9790,10290,7500,13110,9590,8240,8230,7830,Feuil1
Nabeul,119750.0,76530.0,41310.0,82510.0,84620.0,84220.0,84550,87970,86120,71900,73000,70380,66680,66680,62750,64090,63830,64710,64697,65030,65090,63200,58500,55400,Feuil1
Bizerte,76280.0,122000.0,129430.0,141330.0,127180.0,117880.0,114910,106460,84660,78430,88310,97540,95540,95540,86610,83390,83180,83200,78640,77880,72250,73650,74040,73170,Feuil1
Béja,90600.0,82000.0,79890.0,90570.0,88810.0,97840.0,99840,92360,84400,92200,95940,97650,101180,101180,96250,92340,84710,80790,75900,77580,79590,78350,75490,75040,Feuil1
Jendouba,66400.0,65000.0,89960.0,71940.0,76550.0,80700.0,81030,85290,86620,87750,89070,88770,91560,91560,94800,97250,98900,99100,92780,96380,95240,93350,90900,78730,Feuil1
Kef,54600.0,32120.0,34910.0,34890.0,37090.0,39010.0,36310,34740,24930,26170,26580,26630,26700,26700,26220,26740,24920,24210,19790,20030,22350,28640,26830,25860,Feuil1
Siliana,33810.0,54000.0,41950.0,40380.0,38270.0,48670.0,46520,42470,35150,31570,33620,35420,36590,36590,38600,39540,37500,36960,41300,45000,39000,38750,29500,19000,Feuil1
Zaghouan,15750.0,14660.0,20050.0,20240.0,21670.0,22290.0,22790,21940,20430,20510,21010,25440,26550,26550,28330,26870,27210,26250,25440,25680,24430,23910,23470,22480,Feuil1
Sousse,13500.0,12240.0,12390.0,12850.0,12550.0,12940.0,11770,10820,8010,8340,9670,11460,13370,13370,11760,11030,10340,11810,11490,10350,10720,10480,10400,10100,Feuil1
Monastir,24340.0,15150.0,15230.0,14690.0,18690.0,18830.0,20650,20590,18520,20120,23110,21790,21910,21910,15200,10750,9480,9570,12930,15800,16280,17080,14460,16340,Feuil1
Mahdia,11570.0,26060.0,26660.0,31890.0,36390.0,41870.0,42220,43910,44010,31990,31990,32120,33790,33790,33400,32030,31950,32020,32050,32290,36610,37320,37480,35230,Feuil1
Sfax,12640.0,21490.0,23540.0,21460.0,28800.0,30020.0,31500,30700,26610,28570,29960,32200,30050,30050,27960,26950,26000,24000,24000,23730,24090,23500,23540,23490,Feuil1
Kairouan,50090.0,52250.0,43960.0,52340.0,54900.0,45750.0,41380,42550,38170,37550,37900,36040,36780,36780,35720,35590,35040,34880,35560,38050,38680,38750,38870,38910,Feuil1
Kasserine,7940.0,7570.0,11860.0,15950.0,15510.0,16280.0,15680,14430,11970,13830,13820,12630,11980,11980,9480,9850,9730,10110,13250,13610,14630,15500,17100,15530,Feuil1
Sidi Bouzid,9350.0,9400.0,20670.0,19270.0,25220.0,27090.0,27630,272920,27660,27870,28470,30870,32680,32680,33630,34330,35920,38080,41730,46540,60000,61800,53800,41000,Feuil1
Gafsa,3160.0,3160.0,3560.0,3960.0,8500.0,7500.0,8600,8390,7860,8120,10380,10400,9970,9970,8960,10490,11200,12410,10460,10540,14030,15400,13570,13700,Feuil1
Gabès,2860.0,2860.0,4520.0,4990.0,5490.0,5830.0,6680,6180,7160,7710,9440,10060,10220,10220,10480,10460,9490,9420,6450,7120,8130,7370,6626,6000,Feuil1
Medenine,850.0,870.0,1500.0,1500.0,1810.0,1870.0,2120,2110,2240,2250,2360,2400,2400,2400,1320,1320,1320,1320,5260,5210,1320,1320,1320,1270,Feuil1
Tozeur,1240.0,1150.0,1240.0,1440.0,1510.0,1510.0,1910,1920,1750,1660,1600,1350,1150,1150,960,800,700,670,660,1010,1040,740,1060,610,Feuil1
Kébili,100.0,100.0,270.0,210.0,240.0,340.0,390,620,640,630,640,790,690,690,750,890,670,670,530,480,490,460,420,420,Feuil1
Tatouine,50.0,40.0,110.0,70.0,80.0,120.0,210,210,210,290,290,290,380,380,380,200,220,270,300,440,520,600,480,360,Feuil1
