annee,race_bovine,nombre_de_tetes_1000_unites,feuille
2013,أبقار واراخي عشر أصيلة,228.0,Feuil1
2013,أبقار واراخي عشر سلالات أخرى,196.0,Feuil1
2013,أبقار اخرى,222.0,Feuil1
2013,عدد الأبقار,646.0,Feuil1
2014,أبقار واراخي عشر أصيلة,240.0,Feuil1
2014,أبقار واراخي عشر سلالات أخرى,198.0,Feuil1
2014,أبقار اخرى,234.0,Feuil1
2014,عدد الأبقار,672.0,Feuil1
2015,أبقار واراخي عشر أصيلة,259.0,Feuil1
2015,أبقار واراخي عشر سلالات أخرى,190.0,Feuil1
2015,أبقار اخرى,231.0,Feuil1
2015,عدد الأبقار,680.0,Feuil1
2016,أبقار واراخي عشر أصيلة,266.0,Feuil1
2016,أبقار واراخي عشر سلالات أخرى,192.0,Feuil1
2016,أبقار اخرى,228.0,Feuil1
2016,عدد الأبقار,686.0,Feuil1
2017,أبقار واراخي عشر أصيلة,253.0,Feuil1
2017,أبقار واراخي عشر سلالات أخرى,185.0,Feuil1
2017,أبقار اخرى,209.0,Feuil1
2017,عدد الأبقار,647.0,Feuil1
2018,أبقار واراخي عشر أصيلة,241.0,Feuil1
2018,أبقار واراخي عشر سلالات أخرى,159.0,Feuil1
2018,أبقار اخرى,194.0,Feuil1
2018,عدد الأبقار,594.0,Feuil1
2019,أبقار واراخي عشر أصيلة,227.0,Feuil1
2019,أبقار واراخي عشر سلالات أخرى,183.0,Feuil1
2019,أبقار اخرى,,Feuil1
2019,عدد الأبقار,410.0,Feuil1
2020,أبقار واراخي عشر أصيلة,227.5,Feuil1
2020,أبقار واراخي عشر سلالات أخرى,182.0,Feuil1
2020,أبقار اخرى,,Feuil1
2020,عدد الأبقار,409.5,Feuil1
2021,أبقار واراخي عشر أصيلة,237.2,Feuil1
2021,أبقار واراخي عشر سلالات أخرى,179.5,Feuil1
2021,أبقار اخرى,,Feuil1
2021,عدد الأبقار,416.7,Feuil1
2022,أبقار واراخي عشر أصيلة,224.2,Feuil1
2022,أبقار واراخي عشر سلالات أخرى,164.1,Feuil1
2022,أبقار اخرى,,Feuil1
2022,عدد الأبقار,388.29999999999995,Feuil1
