gouvernorat_الولاية,ابار_عميقة_sondage,السدود_grand_barrage,السدود_barrage_collinaire,ابار_سطحية_puit_de_surface,ضخ_على_اودية_ponpage_sur_oued,autres_sources,feuille
تونس,50.0,,,230.0,0 190,,Feuil1
أريانة,200.0,,,410.0,0 880,,Feuil1
منوبة,1000.0,,,1150.0,3320,,Feuil1
بن عروس,2770.0,,,1620.0,,,Feuil1
نابل,4600.0,,0 650,17150.0,,,Feuil1
بنزرت,1790.0,,0 490,2510.0,0 480,,Feuil1
باجة,310.0,,0 290,300.0,4670,,Feuil1
جندوبة,940.0,,0 490,590.0,0 300,0 120,Feuil1
الكاف,1460.0,,0 200,7340.0,1460,0 090,Feuil1
سليانة,1230.0,,0 990,2860.0,,,Feuil1
زغوان,4800.0,2550.0,,1900.0,0 700,,Feuil1
سوسة,1470.0,,,2550.0,,,Feuil1
المنستير,,,,1980.0,,,Feuil1
المهدية,580.0,,,3670.0,,,Feuil1
صفاقس,,,,19100.0,,,Feuil1
القيروان,8430.0,,0 280,32000.0,0 540,,Feuil1
القصرين,26300.0,,,750.0,0 230,0 310,Feuil1
سيدي بوزيد,14290.0,,,36300.0,,,Feuil1
قفصة,,,,13470.0,,,Feuil1
قابس,140.0,,,5330.0,,,Feuil1
مدنين,150.0,,,3080.0,,,Feuil1
توزر,840.0,,,470.0,,,Feuil1
قبلي,26120.0,,,,,,Feuil1
تطاوين,,,,5170.0,,,Feuil1
