gouvernorat_الولاية,ابار_عميقة_sondage,السدود_grand_barrage,السدود_barrage_collinaire,ابار_سطحية_puit_de_surface,ضخ_على_اودية_ponpage_sur_oued,autres_sources,feuille
تونس,20.0,,,100.0,0 180,,Feuil1
أريانة,160.0,,,220.0,0 350,,Feuil1
منوبة,650.0,,,570.0,1860,,Feuil1
بن عروس,2520.0,,,1250.0,,,Feuil1
نابل,4400.0,,0 500,16400.0,,,Feuil1
بنزرت,1170.0,,0 020,1110.0,0 020,,Feuil1
باجة,210.0,,0 020,,3660,,Feuil1
جندوبة,620.0,,0 150,210.0,0 110,0 050,Feuil1
الكاف,1400.0,,0 140,6590.0,0 550,0 010,Feuil1
سليانة,900.0,,0 250,2580.0,,,Feuil1
زغوان,4190.0,1300.0,,1650.0,0 250,,Feuil1
سوسة,1130.0,,,2550.0,,,Feuil1
المنستير,,,,1360.0,,,Feuil1
المهدية,490.0,,,2790.0,,,Feuil1
صفاقس,,,,11250.0,,,Feuil1
القيروان,8100.0,,0 250,28800.0,0 480,,Feuil1
القصرين,26270.0,,,720.0,0 220,0 300,Feuil1
سيدي بوزيد,12270.0,,,33200.0,,,Feuil1
قفصة,,,,13320.0,,,Feuil1
قابس,120.0,,,5230.0,,,Feuil1
مدنين,630.0,,,2140.0,,,Feuil1
توزر,840.0,,,470.0,,,Feuil1
قبلي,26120.0,,,,,,Feuil1
تطاوين,,,,4160.0,,,Feuil1
