gouvernorat,cereales_homme,cereales_femme,legumineuses_homme,legumineuses_femme,fourrages_homme,fourrages_femme,maraichage_homme,maraichage_femme,arboriculture_homme,arboriculture_femme,autres_activites_vegetales_homme,autres_activites_vegetales_femme,elevage_homme,elevage_femme,feuille
Tunis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feuil1
Ariana,2.4,0.2,0.0,0.0,4.0,1.5,17.0,1.9,13.5,1.2,3.2,1.0,75.0,16.0,Feuil1
Manouba,7.2,1.2,0.7,0.8,4.6,1.0,15.3,11.2,40.3,17.3,2.5,1.1,80.1,86.1,Feuil1
Ben Arous,6.3,1.4,2.8,1.6,4.9,1.7,1.3,20.4,30.5,24.9,3.0,7.5,38.3,37.8,Feuil1
Nabeul,20.0,33.0,4.5,11.3,14.8,15.4,236.2,358.3,78.0,92.8,65.1,103.8,43.4,142.8,Feuil1
Bizerte,132.4,68.9,16.7,53.2,63.8,24.9,21.5,78.5,28.4,18.3,36.9,48.1,98.1,132.5,Feuil1
Beja,224.5,7.4,31.2,19.8,63.8,6.6,27.1,20.9,76.3,75.4,17.4,6.0,709.8,483.5,Feuil1
Jendouba,84.5,26.3,13.4,24.1,17.8,15.4,103.8,110.9,7.2,34.5,6.5,25.2,348.2,807.2,Feuil1
Le Kef,11.0,1.0,0.0,0.0,0.0,0.0,7.0,3.0,18.0,2.0,0.0,0.0,99.0,9.0,Feuil1
Siliana,115.7,13.0,1.7,4.4,32.4,3.4,5.6,8.2,65.7,96.2,69.7,46.5,352.4,421.4,Feuil1
Zaghouan,23.1,18.0,1.8,10.2,7.8,5.2,21.5,15.0,112.3,249.0,8.6,3.1,185.5,496.3,Feuil1
Sousse,2.0,0.2,0.0,0.0,1.8,5.8,23.5,56.6,76.7,87.4,22.4,21.3,261.2,212.0,Feuil1
Monastir,3.2,2.7,0.0,0.1,1.4,3.9,73.2,81.4,144.5,201.4,0.0,0.0,40.4,386.3,Feuil1
Mahdia,11.4,13.4,0.9,1.0,1.0,4.7,47.0,46.0,260.0,244.0,45.0,38.0,560.3,1128.8,Feuil1
Sfax,0.0,1.9,0.0,0.0,5.3,8.6,220.4,390.8,327.2,1392.3,0.0,0.0,212.2,747.6,Feuil1
Kairouan,35.2,104.8,0.0,0.0,4.2,5.5,233.6,299.8,240.0,566.9,23.0,64.0,410.9,724.8,Feuil1
Kasserine,104.2,13.1,0.0,0.0,76.0,21.2,70.5,12.5,289.0,302.0,663.7,478.4,522.9,1031.7,Feuil1
Sidi Bouzid,6.7,7.8,0.0,0.0,55.8,158.1,236.3,610.0,511.0,1332.0,98.6,113.2,597.0,1545.0,Feuil1
Gafsa,1.1,0.0,0.0,0.0,3.3,0.8,15.4,16.0,210.5,148.2,22.2,10.6,165.3,233.0,Feuil1
Gabes,13.8,17.9,1.3,5.9,13.0,18.6,100.3,42.8,212.8,187.5,40.0,43.3,105.1,201.2,Feuil1
Medenine,0.2,1.8,0.7,2.9,0.0,0.2,2.8,12.7,30.5,133.0,1.7,18.4,34.7,388.5,Feuil1
Tozeur,0.0,0.0,0.0,0.0,1.2,0.3,13.9,5.2,63.2,0.4,1.6,1.0,2.6,2.1,Feuil1
Kebili,0.0,0.0,0.0,0.0,6.4,5.1,3.2,13.3,94.3,25.0,39.0,9.3,17.3,131.9,Feuil1
Tataouine,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,196.4,42.5,316.6,71.5,345.2,79.8,Feuil1
