gouvernorat,cereales_homme,cereales_femme,legumineuses_homme,legumineuses_femme,fourrages_homme,fourrages_femme,maraichage_homme,maraichage_femme,arboriculture_homme,arboriculture_femme,autres_activites_vegetales_homme,autres_activites_vegetales_femme,elevage_homme,elevage_femme,feuille
Tunis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feuil1
Ariana,1.8,0.0,0.4,0.0,1.6,0.8,1.9,0.1,13.5,0.1,10.0,2.0,15.0,0.4,Feuil1
Manouba,26.2,0.1,4.5,0.0,8.1,0.1,12.1,1.1,120.3,1.2,70.6,10.1,86.3,5.1,Feuil1
Ben Arous,11.5,1.3,0.6,0.0,7.6,0.0,1.4,1.7,160.7,69.0,25.3,5.2,69.0,5.3,Feuil1
Nabeul,15.9,1.8,0.8,0.1,13.0,0.0,796.0,92.9,545.0,56.0,191.0,12.3,274.1,15.8,Feuil1
Bizerte,251.5,3.5,42.7,11.5,167.3,0.1,107.2,30.4,163.7,3.1,381.7,22.4,317.2,46.8,Feuil1
Beja,116.4,0.2,17.2,0.0,28.1,0.0,14.1,0.0,49.2,1.8,80.2,7.1,212.1,0.0,Feuil1
Jendouba,59.2,2.7,13.9,1.5,33.6,13.4,10.1,11.2,32.4,15.6,40.2,80.8,153.6,47.2,Feuil1
Le Kef,55.0,5.0,0.0,0.0,2.0,0.0,1.0,3.0,57.7,1.0,32.1,0.0,761.0,92.0,Feuil1
Siliana,76.4,1.0,10.4,0.3,22.7,0.1,4.2,0.0,23.2,2.3,12.0,2.4,291.8,5.9,Feuil1
Zaghouan,35.9,1.3,1.9,0.2,16.9,0.2,1.3,0.3,30.0,1.9,63.0,3.2,174.7,25.8,Feuil1
Sousse,2.3,0.0,0.0,0.0,2.9,1.4,100.2,4.4,34.1,1.3,23.3,1.9,64.8,4.7,Feuil1
Monastir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,2.3,0.0,95.2,0.0,Feuil1
Mahdia,6.7,6.7,0.2,0.0,1.6,0.2,4.4,0.7,11.0,1.1,15.2,1.2,124.3,37.3,Feuil1
Sfax,3.8,0.0,0.0,0.0,2.9,0.2,75.4,77.9,260.1,190.3,20.9,2.3,31.6,18.7,Feuil1
Kairouan,22.1,20.1,0.0,0.0,9.9,8.0,18.3,2.0,48.2,9.7,92.9,34.5,461.7,9.7,Feuil1
Kasserine,2.6,0.9,0.0,0.0,1.7,0.5,1.2,0.4,26.5,8.4,33.6,2.9,171.5,15.2,Feuil1
Sidi Bouzid,5.4,0.84,0.0,0.0,24.0,2.8,107.0,17.6,215.3,34.0,21.9,2.5,251.5,36.9,Feuil1
Gafsa,0.0,0.0,0.0,0.0,1.4,0.0,17.6,24.6,82.4,40.2,16.8,0.0,73.5,24.8,Feuil1
Gabes,0.2,0.0,0.0,0.0,0.7,0.2,20.9,100.5,2.5,1.0,6.6,1.5,52.1,0.9,Feuil1
Medenine,0.0,0.0,0.0,0.0,0.2,0.0,8.8,8.5,19.2,28.4,18.8,32.0,112.7,7.0,Feuil1
Tozeur,0.0,0.0,0.0,0.0,0.5,0.0,31.3,0.0,144.1,0.0,128.0,0.0,170.9,0.0,Feuil1
Kebili,0.0,0.0,0.0,0.0,2.6,0.0,80.3,0.0,62.2,0.0,19.1,0.0,8.8,0.0,Feuil1
Tataouine,0.0,0.0,0.0,0.0,0.0,0.0,3.9,1.4,56.5,10.3,0.0,0.0,297.4,41.0,Feuil1
