annee,gafsa,gabes,tozeur,kebili,feuille
1992,,2100,7800,7600,Feuil1
1993,,900,7670,7460,Feuil1
1994,,4000,7740,12350,Feuil1
1995,750.0,2910,7750,12920,Feuil1
1996,970.0,3030,7750,13460,Feuil1
1997,1310.0,5050,7800,13830,Feuil1
1998,1140.0,5100,7800,15300,Feuil1
1999,1820.0,6940,7900,16000,Feuil1
2000,1270.0,7100,7900,16000,Feuil1
2001,1290.0,7200,7900,16000,Feuil1
2002,1350.0,7200,8100,16000,Feuil1
2003,1860.0,6940,8150,15960,Feuil1
2004,1360.0,7200,8150,16000,Feuil1
2005,1950.0,6940,8210,16040,Feuil1
2006,2680.0,6700,8360,16020,Feuil1
2007,1840.0,6550,8360,16300,Feuil1
2008,1950.0,6520,8370,16300,Feuil1
2009,1950.0,6640,8360,22980,Feuil1
2010,1950.0,7000,8360,23860,Feuil1
2011,1950.0,7000,8370,23870,Feuil1
2012,1980.0,7000,8370,23850,Feuil1
2013,2330.0,7000,8360,23860,Feuil1
2014,2260.0,7000,8360,23860,Feuil1
2015,2550.0,7300,8360,23860,Feuil1
2016,2440.0,7300,8450,36540,Feuil1
2017,4324.0,7262,8444,36559,Feuil1
2018,4325.0,7325,8444,36560,Feuil1
2019,4325.0,7325,8444,36560,Feuil1
