gouvernorat,ann_2000,ann_2001,ann_2002,ann_2003,ann_2004,ann_2005,ann_2006,ann_2007,ann_2008,ann_2009,ann_2010,ann_2011,ann_2012,ann_2013,ann_2014,ann_2015,ann_2016,feuille
Manouba,,,,,,,,,250,200,160,160,130,140,150,140,210,Feuil1
Bizerte,,750.0,360.0,450.0,350.0,510.0,500.0,530.0,300,530,660,250,500,500,470,440,360,Feuil1
Nabeul,3100.0,3450.0,3500.0,3400.0,3100.0,3600.0,3400.0,3300.0,2880,2930,2900,2790,2620,2750,2800,2200,2700,Feuil1
Béja,,,,,,,,,680,630,630,710,500,350,450,410,460,Feuil1
Jendouba,2090.0,2510.0,1980.0,2720.0,2060.0,1480.0,1450.0,1620.0,1800,1720,1830,2250,1090,1100,1970,1380,2300,Feuil1
Sousse,450.0,570.0,480.0,600.0,600.0,690.0,770.0,750.0,620,650,610,540,370,600,780,460,550,Feuil1
Monastir,100.0,170.0,180.0,210.0,150.0,310.0,310.0,290.0,330,350,330,350,300,460,600,590,470,Feuil1
Sfax,,,,,,,,,560,240,290,290,260,370,250,350,260,Feuil1
Kairouan,,,,,,,,860.0,870,870,580,500,450,700,850,890,800,Feuil1
Sidi bouzid,,,,,,,,,1560,1030,1150,1210,1030,1150,1540,940,1300,Feuil1
Gafsa,,,,,,,,,1820,580,890,1030,890,940,1080,790,850,Feuil1
Gabes,,,,,,,,,310,240,220,180,140,120,190,120,120,Feuil1
Tataouine,,,,,,,,180.0,160,100,120,60,60,80,100,30,40,Feuil1
