gouvernorat,date,superficie_en_hectar,feuille
Ariana,2000,1460.0,Feuil1
Ariana,2001,440.0,Feuil1
Ariana,2002,420.0,Feuil1
Ariana,2003,390.0,Feuil1
Ariana,2004,430.0,Feuil1
Ariana,2005,280.0,Feuil1
Ariana,2006,200.0,Feuil1
Ariana,2007,140.0,Feuil1
Béja,2000,1090.0,Feuil1
Béja,2001,970.0,Feuil1
Béja,2002,1190.0,Feuil1
Béja,2003,1270.0,Feuil1
Béja,2004,1350.0,Feuil1
Béja,2005,1370.0,Feuil1
Béja,2006,1150.0,Feuil1
Béja,2007,1320.0,Feuil1
Béja,2008,1700.0,Feuil1
Béja,2009,1330.0,Feuil1
Béja,2010,2400.0,Feuil1
Béja,2011,2510.0,Feuil1
Béja,2012,1650.0,Feuil1
Béja,2013,1250.0,Feuil1
Béja,2014,1500.0,Feuil1
Béja,2015,1360.0,Feuil1
Bizerte,2000,1200.0,Feuil1
Bizerte,2001,390.0,Feuil1
Bizerte,2002,820.0,Feuil1
Bizerte,2003,790.0,Feuil1
Bizerte,2004,250.0,Feuil1
Bizerte,2005,500.0,Feuil1
Bizerte,2006,450.0,Feuil1
Bizerte,2007,590.0,Feuil1
Bizerte,2008,480.0,Feuil1
Bizerte,2009,460.0,Feuil1
Bizerte,2010,730.0,Feuil1
Bizerte,2011,550.0,Feuil1
Bizerte,2012,630.0,Feuil1
Bizerte,2013,1010.0,Feuil1
Bizerte,2014,930.0,Feuil1
Bizerte,2015,570.0,Feuil1
Jendouba,2007,500.0,Feuil1
Jendouba,2008,720.0,Feuil1
Jendouba,2009,850.0,Feuil1
Jendouba,2010,1450.0,Feuil1
Jendouba,2011,1510.0,Feuil1
Jendouba,2012,1800.0,Feuil1
Jendouba,2013,1060.0,Feuil1
Jendouba,2014,1250.0,Feuil1
Jendouba,2015,1170.0,Feuil1
Kairouan,2007,1200.0,Feuil1
Kairouan,2008,1460.0,Feuil1
Kairouan,2009,1690.0,Feuil1
Kairouan,2010,4130.0,Feuil1
Kairouan,2011,6310.0,Feuil1
Kairouan,2012,6010.0,Feuil1
Kairouan,2013,1760.0,Feuil1
Kairouan,2014,2460.0,Feuil1
Kairouan,2015,2730.0,Feuil1
Kef,2000,630.0,Feuil1
Kef,2001,1580.0,Feuil1
Kef,2002,1150.0,Feuil1
Kef,2003,1380.0,Feuil1
Kef,2004,1390.0,Feuil1
Kef,2005,1450.0,Feuil1
Kef,2006,1460.0,Feuil1
Kef,2007,1620.0,Feuil1
